Disadvantaged,Applicant,Project #,Description/Needs Category,Service Area Population,IUP Amount Requested,Loan Amount,Additional Subsidization Amount
,MO American Lake Taneycomo Acres,DWLSL-214-23,LSLI,275,"$                       34,300","$                          20,237","$                       14,063"
,MO American Pom-O-Sa Heights,DWLSL-215-23,LSLI,153,"$                       29,890","$                          17,635","$                       12,255"
,MO American Jefferson City Northern,DWLSL-216-23,LSLI,143,"$                       27,930","$                          16,479","$                       11,451"
D,MO American Monsees Lake Estates,DWLSL-217-23,LSLI,160,"$                       27,440",$                                -,"$                       27,440"
,MO American Jaxson Estates,DWLSL-218-23,LSLI,543,"$                       26,583","$                          15,684","$                       10,899"
D,MO American Hickory Hills,DWLSL-219-23,LSLI,130,"$                       22,050",$                                -,"$                       22,050"
,MO American Pevely Farms,DWLSL-220-23,LSLI,433,"$                       21,193","$                          12,504","$                         8,689"
,MO American Anna Meadows,DWLSL-221-23,LSLI,400,"$                       19,600","$                          11,564","$                         8,036"
,MO American Lake Carmel,DWLSL-222-23,LSLI,195,"$                       19,110","$                          11,275","$                         7,835"
,MO American Lakewood Manor,DWLSL-223-23,LSLI,98,"$                       15,190","$                            8,962","6,228$"
D,MO American Table Rock Estates,DWLSL-224-23,LSLI,93,"$                       12,250",$                                -,"$                       12,250"
,MO American Golden Acres,DWLSL-225-23,LSLI,80,"11,270$","$                            6,649","4,621$"
,MO American Spokane Heights,DWLSL-226-23,LSLI,633,"$                          6,860","$                            4,047","2,813$"
,MO American Redfield,DWLSL-227-23,LSLI,93,"$                          6,860","$                            4,047","$                         2,813"
D,Fairfax,DWLSL-228-23,LSLI,695,"32,000$",$                                -,"32,000$"
D,Steele,DWLSL-229-23,LSLI,"1,975","$                     250,000",$                                -,"$                    250,000"
D,Clarkton,DWLSL-230-23,LSLI,"1,105","$                     220,000",$                                -,"$                    220,000"
D,Bell City,DWLSL-231-23,LSLI,494,"228,000$",$                                -,"228,000$"
D,Lincoln,DWLSL-232-23,LSLI,"1,360","$                     129,096",$                                -,"$                    129,096"
,West Plains,DWLSL-233-23,LSLI,"12,184","$                     125,625","$                          74,119","$                       51,506"
D,Versailles,DWLSL-234-23,LSLI,"2,963","$                     192,000",$                                -,"192,000$"
,Cape Girardeau,DWLSL-235-23,LSLI,"39,540","$                     500,000","$                       397,500","$                    102,500"
,Cass PWSD 2,DWLSL-236-23,LSLI,"5,500","$                     498,000","$                       395,500","102,500$"
,Oran,DWLSL-237-23,LSLI,"1,285","$                     300,000","$                       197,500","$                    102,500"
D,Madison,DWLSL-238-23,LSLI,515,"$                     154,250",$                                -,"$                    154,250"
,Boone PWSD 4,DWLSL-239-23,LSLI,"7,290","78,894$","$                          46,547","$                       32,347"
D,McDonald PWSD 2,DWLSL-240-23,LSLI,"2,301","$                     250,000",$                                -,"$                    250,000"
,Johnson PWSD 3,DWLSL-241-23,LSLI,"9,191","$                     243,007","$                       143,374","$                       99,633"
,Lincoln PWSD 2,DWLSL-242-23,LSLI,998,"$                     114,600","$                          67,614","$                       46,986"
