Project,Project County,System Name/Borrower,Description,Population,Project Cost,Score,Cumulative Total,DAC
19401,ONONDAGA,ELBRIDGE (T),"Lead Service Line Inventory., Upgrade Distribution System",3600,442656,25,281941842,Yes
19443,ALBANY,RAVENA (V),"Lead Service Line Inventory., Upgrade Distribution System",3271,345050,25,282286892,No
19449,WARREN,LAKE LUZERNE (T),"Lead Service Line Inventory., Upgrade Distribution System",2500,650342,25,282937234,Yes
19613,CATTARAUGUS,RANDOLPH (T),"Lead Service Line Inventory., Upgrade Distribution System",1960,563000,25,283500234,Yes
19593,WESTCHESTER,MT. VERNON BOARD OF WATER,"Lead Service Line Inventory., Upgrade Distribution System",1200,6100000,25,289600234,Yes
19630,DELAWARE,FRANKLIN (V),"Lead Service Line Inventory., Upgrade Distribution System",342,201465,25,289801699,Yes
19617,CATTARAUGUS,FRANKLINVILLE (V),"Lead Service Line Inventory., Upgrade Distribution System",293,2626000,25,292427699,Yes
19615,ERIE,ERIE COUNTY WA,"Lead Service Line Inventory., Upgrade Distribution System",117,910000,20,293337699,No
19614,ONONDAGA,ONONDAGA COUNTY WATER AUTHORITY,"Lead Service Line Inventory., Upgrade Distribution System",500000,1143000,20,294480699,No
19602,NY CITY,NY City,"Lead Service Line Inventory., Upgrade Distribution System",215564,4716862,20,299197561,Yes
19336,WESTCHESTER,YONKERS (C),"Lead Service Line Inventory., Upgrade Distribution System",211569,3115750,20,302313311,Yes
19315,NASSAU,HICKSVILLE WD,"Lead Service Line Inventory., Upgrade Distribution System",48000,1086200,20,303399511,No
19286,ONEIDA,SHERRILL-KENWOOD WD,"Lead Service Line Inventory., Upgrade Distribution System",3500,25750,20,303425261,No
19380,DUTCHESS,MILLERTON (V),"Lead Service Line Inventory., Upgrade Distribution System",2000,128000,20,303553261,Yes
19471,JEFFERSON,SACKETS HARBOR (V),"Lead Service Line Inventory., Upgrade Distribution System",1550,54610,20,303607872,No
19875,SARATOGA,WATERFORD WATER WORKS,"Lead Service Line Inventory., Upgrade Distribution System",366,2208887,20,305816758,No
19465,ST. LAWRENCE,LISBON WD,"Lead Service Line Inventory., Upgrade Distribution System",300,14494,20,305831252,No
19374,NASSAU,TOWN OF HEMPSTEAD,"Lead Service Line Inventory., Upgrade Distribution System",130000,741600,20,306572852,No
19880,ALBANY,LATHAM WATER DISTRICT,"Lead Service Line Inventory., Upgrade Distribution System",85590,2039679,20,308612531,No
19359,NASSAU,JERICHO WD,"Lead Service Line Inventory., Upgrade Distribution System",58000,9292000,20,317904531,No
19358,NASSAU,JERICHO WD,"Lead Service Line Inventory., Upgrade Distribution System",58000,1372000,20,319276531,No
19356,NASSAU,FREEPORT (V),"Lead Service Line Inventory., Upgrade Distribution System",44199,500000,15,319776531,No
19388,WESTCHESTER,OSSINING WATER DEPARTMENT,"Lead Service Line Inventory., Upgrade Distribution System",32000,134000,15,319910531,Yes
19373,WESTCHESTER,OSSINING WATER DEPARTMENT,"Lead Service Line Inventory., Upgrade Distribution System",32000,3441000,15,323351531,Yes
19325,NASSAU,PORT WASHINGTON WD,"Lead Service Line Inventory., Upgrade Distribution System",30000,1236000,15,324587531,No
19329,ORANGE,NEW WINDSOR CWD,"Lead Service Line Inventory., Upgrade Distribution System",29500,275000,15,324862531,No
19601,NASSAU,CITY OF GLEN COVE,"Lead Service Line Inventory., Upgrade Distribution System",28000,309000,15,325171531,Yes
19386,ORANGE,NEWBURGH CWD,"Lead Service Line Inventory., Upgrade Distribution System",23000,374525,15,325546056,No
19363,NASSAU,GARDEN CITY (V),"Lead Service Line Inventory., Upgrade Distribution System",22384,3468100,15,329014156,No
19375,NASSAU,MINEOLA (V),"Lead Service Line Inventory., Upgrade Distribution System",20600,1194000,15,330208156,No
19322,NASSAU,WESTBURY WD,"Lead Service Line Inventory., Upgrade Distribution System",20500,1186000,15,331394156,No
19353,NASSAU,ROSLYN WD,"Lead Service Line Inventory., Upgrade Distribution System",18619,3811510,15,335205666,No
19323,NASSAU,ALBERTSON WD,"Lead Service Line Inventory., Upgrade Distribution System",13500,1156000,15,336361666,No
19625,ROCKLAND,SUFFERN (V),"Lead Service Line Inventory., Upgrade Distribution System",12000,662545,15,337024211,No
19324,NASSAU,CARLE PLACE WD,"Lead Service Line Inventory., Upgrade Distribution System",9000,1145000,15,338169211,No
19377,NASSAU,WILLISTON PARK (V),"Lead Service Line Inventory., Upgrade Distribution System",7300,7307070,15,345476281,No
19376,NASSAU,WILLISTON PARK (V),"Lead Service Line Inventory., Upgrade Distribution System",7300,1137000,15,346613281,No
19344,WESTCHESTER,LARCHMONT (V),"Lead Service Line Inventory., Upgrade Distribution System",6630,2510728,15,349124009,No
19427,FRANKLIN,SARANAC LAKE (V),"Lead Service Line Inventory., Upgrade Distribution System",5800,1151160,15,350275169,Yes
19355,NASSAU,OLD WESTBURY (V),"Lead Service Line Inventory., Upgrade Distribution System",4600,1122000,15,351397169,Yes
19390,ULSTER,PORT EWEN WD,"Lead Service Line Inventory., Upgrade Distribution System",4500,228000,15,351625169,Yes
19348,TOMPKINS,BOLTON POINT,"Lead Service Line Inventory., Upgrade Distribution System",3600,540377,15,352165546,No
19347,TOMPKINS,BOLTON POINT,"Lead Service Line Inventory., Upgrade Distribution System",3600,345951,15,352511497,No
19394,ULSTER,NEW PALTZ WD,"Lead Service Line Inventory., Upgrade Distribution System",1775,90125,15,352601622,Yes
19389,DUTCHESS,RED HOOK WATER DISTRICT NO. 1,"Lead Service Line Inventory., Upgrade Distribution System",1600,178000,15,352779622,Yes
19439,ORANGE,MONROE (T),"Lead Service Line Inventory., Upgrade Distribution System",1500,91250,15,352870872,Yes
19434,COLUMBIA,KINDERHOOK (V),"Lead Service Line Inventory., Upgrade Distribution System",1100,192000,15,353062872,No
19381,ORANGE,FIRTHCLIFFE HEIGHTS WD,"Lead Service Line Inventory., Upgrade Distribution System",460,59625,15,353122497,No
