Project.Number,County,System.Name,Borrower,Description,Pop,Project.Cost,Score,Cumulative.Total
19774,St. Lawrence,BORDER WATER DISTRICT,Massena (T),"Border Water District Project, New Water District",583,11330000,70,376868954
18704,St. Lawrence,POTSDAM (T),Potsdam (T),"NYS Rt. 56 WD, New Distribution System, New Water District",305,7441000,70,384309954
19804,Orleans,BARRE (T) WD NO. 10,Barre (T),"New WD No. 10, New Water District",75,2708000,70,387017954
19831,Clinton,PLATTSBURGH (C),Plattsburgh (C),"Phase 4 - New Production Well, rehab transmission main, WTP Upgrades, Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission",19900,8810000,65,395827954
19487,Clinton,PLATTSBURGH (C),Plattsburgh (C),"Phase 3 - drinking water system upgrades, Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission",19840,8832000,65,404659954
18863,Steuben,PAINTED POST VILLAGE,Painted Post (V),"Well upgrades and replacement of storage tank, Upgrade Ground Water Source, Upgrade Storage",1842,8289487,65,412949441
18900,Chenango,VILLAGE OF GREENE,Greene (V),"Phase 1 - Water main replacement, Upgrade Distribution System",1800,20566400,65,433515841
19184,Chenango,BAINBRIDGE (V),Bainbridge (V),"Water System Improvements - WM Replacement, New Well, Booster PS Improvements, New Ground Water Source, Upgrade Pump Station, Upgrade Distribution System",1600,7455600,65,440971441
19793,St. Lawrence,GOUVERNEUR (V),Gouverneur (V),"Improvements to portions of existing water distribution system, Upgrade Distribution System",1550,9749000,65,450720441
18928,Oswego,PULASKI VILLAGE,Pulaski (V),"Replacement of aged and deteriorating water main, Upgrade Distribution System",900,11962000,65,462682441
19510,Jefferson,LORRAINE WATER DISTRICT NO. 1,Lorraine (T),"Construction of WD No. 1, New Water District",160,4435000,65,467117441
18587,Niagara,NIAGARA FALLS WATER BOARD,Niagara Falls Water Board,"Beech Ave Storage Tank Replacement, Upgrade Storage",48500,15240000,60,482357441
19041,Orange,WALLKILL CONSOLIDATED WD #1,Wallkill (T),"Rykowski Well Field Expansion and Water Treatment Plant Upgrades, Upgrade Water Treatment Plant, New Ground Water Source",18500,11074560,60,493432001
19213,Allegany,WELLSVILLE (V),Wellsville (V),"Village-Wide Watermain Replacement, Upgrade Distribution System",5700,6828000,60,500260001
