Project #,Applicant Name,Project Description,Attachment Project Name,Attachment Project Description,City/Town,County,Population,Disadvantaged Rank,"Priority
Ranking Points",DW SRF Amount Granted,DW SRF PF,DW SRF PF%,Applied for Project Amount,Interest Rate,source
FS010396-01,Big Wills Water Authority,Ridgeville Well,Ridgeville Well,"The Big Wills Water Authority proposes to construct a new water supply well. This project will include locating a suitable location for the well before constructing a well based on ADEM drinking water standards. A well building will be constructed with a backup generator and piping, with waterlines to connect to the existing water system. The proposed project will provide a new water source to the Big Wills Water Authority and increase reliability of the system.",Attalla,Etowah,5872,2.33,25,2247117,0,0,2247117,0.0199,Attachment 1 A
FS010060-06,"Albertville, Municipal Utilities Board of the City of,
Water System",Albertville WTP Improvements,Albertville WTP Improvements,"The Municipal Utilities Board of the City of Albertville proposes improvements at the Albertville Water Treatment Plant (WTP) to include a new 2 MGD clearwell, filter rehabilitation of the four filters at the 9 MGD WTP, and a new backwash pump and pipeline to the 9 MGD WTP filters. The new clearwell will provide redundant storage capability to allow the existing 2MGD clearwell to be removed from service for maintenance or for emergency repairs. It will also improve disinfection contact time and permit a wider operating range for clearwell storage capacity and disinfection dosage rates. The proposed improvements will increase filter run time and provide a more efficient backwash process. The new backwash pipeline to the 9 MGD WTP will allow the consolidation of the Albertville WTP backwash facilities to one location at the combined Finished Water Pumping Station.",Albertville,Marshall,22268,0.74,SUPP,2000000,0,0,2000000,0.0199,Attachment 1 A
FS010435-03,Butler County Water Supply District,County Road 50 Production Wells,County Road 50 Production Wells,"Butler County Water Supply District proposes to construct two new production wells, along with the required treatment facility and infrastructure. The proposed scope of work includes 2 production wells and associated new water transmission mains and a new Elevated Water Tank with a new Ground Water Well Treatment Facility. These proposed improvements will optimize the efficiency of the well systems and extend the life of this critical water system.",Greenville,Butler,231,1,SUPP,2479323,0,0,2479323,0.0275,Attachment 1 B
FS010133-07,Warrior River Water Authority,WTP Improvements - Supp,WTP Improvements,The Warrior River Water Authority proposes to increase the water treatment plant capacity to provide better redundancy for the loss of a groundwater source. The proposed project would increase system redundancy and resiliency of all customer,Bessemer,Jefferson,26171,1,SUPP,2875000,0,0,2875000,0.0199,Attachment 1 B
FS010227-06,"Gilbertown, The Utilities Board of the Town of",Melvin Well Rehabilitation,Water Meter Replacement & Well Replacement,The Utilities Board of the Town of Gilbertown proposes replace the failed Melvin Water Supply Well. The Melvin Well has been down for several years and causing the system to strain to meet water demands. This source of funding is supplemental to the previous loan.,Gilberton,Choctaw,666,2.1,SUPP,1200000,0,0,1200000,0.0275,Attachment 1 B
FS010511-04,City of Weaver,New Tank & Pump Station,New Tank & Pump Station,"The City of Weaver proposes to construct an 85-foot tall, 125,000-gallon standpipe with an overflow elevation of 980.00 adjacent to Tank No. 1 on Water Tower Road including a package type booster pump station and minor modifications and extensions of water mains and valves. The purpose project will increase water pressure to the low-pressure area to meet or exceed the ADEM minimum water pressure requirement.",Weaver,Calhoun,3364,1,SUPP,452800,0,0,452800,0.0275,Attachment 1 B
FS010531-02,"Coffeeville, The Utilities Board of the Town of",Water Tank Upgrades,Water Tank Upgrades,"The Utilities Board of the Town of Coffeeville proposes to rehabilitate the two elevated water storage tanks. The Town Hall Tank is an elevated storage tank with a capacity of 60,000 gallons. The Centerpoint Tank is an elevated storage tank with a capacity of 200,000 gallons. Both tanks are in critical need of cleaning, sand blasting, and coating in order to prolong the useful life of each storage tank.",Coffeville,Clarke,2500,1.8,55,603400,603400,1,603400,NA,Attachment 1 B
FS010239-04,Anniston Water Works and Sewer Board,Paul B. Krebs WTP Improvements,Paul B. Krebs WTP Improvements,"The Anniston Water Works and Sewer Board proposes to rehabilitate the Paul B. Krebs Water Treatment Plant including a new finished water pump station, new stand-by generator, general site improvements for continued protection of the Coldwater Spring Watershed, and conversion of the Chlorine Gas Disinfection to Bulk Sodium Hypochlorite. The proposed project would address concerns related to the watershed, emergency power, and disinfection system improving water quality throughout the system and multiple other systems which currently purchase water.",Anniston,Calhoun,21455,1.61,SUPP,3789331,0,0,15468490,0.0275,Attachment 1 B
FS010384-03,Wilcox County Water and Sewer District,Water Well Improvements,Water Well Improvements,The Wilcox County Water and Sewer District proposes a project to upgrade existing water sources and install a new source to meet the water system capacity needs. The proposed project includes drilling new wells at the existing well sites with larger diameters to increase production and constructing a new well with treatment in the Catherine Area. The proposed project will reduce reliability on neighboring water systems to meet to the water system capacity needs and provide WCWSD with the necessary capacity to service their customers.,Camden,Wilcox,8423,1,SUPP,2033413,2033413,1,2083413,NA,Attachment 1 B
FS010360-03,"Randolph County Water, Sewer & Fire Protection
Authority",Water Storage Tank,Water Storage Tank,"The Randolph County Water, Sewer & Fire Protection Authority proposed project is to provide an affordable, reliable, and safe supply of drinking water to Randolph County residents by adding new water storage tank that will allow for continual high-quality service to the Authority's customers.",Wedowee,Randolph,863,2.78,35,1500000,0,0,1500000,0.025,Attachment 1 B
FS010202-06,"East Central Baldwin County Water, Sewer, and FPA",Replacement Water Supply Well,Replacement Water Supply Well,East Central Baldwin proposes to install a new deep water supply well to replace an existing well with declining viability due to severe manganese and iron contamination. The proposed project will provide reliable and safe water for the systems customers.,Robertsdale,Baldwin,6603,1,120,1600000,0,0,1600000,0.0275,Attachment 1 B
FS010286-02,"Forkland, Town of",New Water Well,New Water Well,"The Town of Forkland proposes to construct a new water supply well. Since the existing well site is no longer viable, a site has been selected approximately 1-mile north of the existing well site for the construction of the new water supply well.",Forkland,Greene,905,1,SUPP,1124000,1124000,1,1124000,NA,Attachment 1 B
FS010382-02,St. Stephens Water System,New Water Well,New Water Well,"St. Stephens Water System proposes to install a new water well which will improve water capabilities for the St. Stephens Water System. The population of the service area is approximately 650 and the system maintains approximately 315 active water service accounts. The water system also supplies water to the neighboring Frankville and Hobson Water Systems. The proposed project would replace Well 1, which is nearing failure and currently allowing sand to enter the well due to collapsed well screens. This condition poses a significant risk to the system’s ability to deliver safe and reliable water and threatens the continued operation of the well.",St. Stephens,Washington,,1,170,810000,0,0,810000,0.022,Attachment 1 B
FS010387-09,Prichard Water Works and Sewer Board,PWW&SB Lovejoy Loop Pipe Water Main Rehabilitation(Phase I),PWW&SB Lovejoy Loop Water Main Rehabilitation (Phase I),The Prichard Water Works and Sewer Board proposes to begin a three phase construction project to replace a large portion of 4-inch through 12-inch waterlines due to the reported frequency of repairs and leaks. Waterlines in this area are 80 years old and deteriorated to a point where they need to be replaced in order to provide adequate service without continual water loss issues. This project will be.in two main stages with the first being design and the second consisting of three (3) construction phases of similar cost of which this is Phase I.,Prichard,Mobile,19645,2.51,205,2004369,2004369,1,4408738,NA,Attachment 1 B
FS010369-01,Sumter County Water Authority,Water System Improvements,Water System Improvements,The Sumter County Water Authority proposes address areas within the SCWA water system which either have inadequate water supply volumes or have water pressure issues which are due primarily to undersized water mains or existing water main materials. Portions of the proposed project will resolve the issues in these areas by replacing undersized and older portions of the system’s water mains with appropriately sized water mains constructed of modern materials which will be designed to meet customer needs and enhance system sustainability. Proposed new water mains will also be constructed for the purpose of connecting portions of the system together to better utilize source water well capabilities to provide redundancy and supply the system more efficiently.,Livingston,Sumter,3227,2.39,85,1222592,0,0,2610500,0.0199,Attachment 1 B
