Rank,Points,Project Title,Project Number,"Beneficiary
Population",PWSID,Applicant / System Name,County,"Leg.
District","Cong.
District",W/S,PFA,"Public /
Private","System
Size",Disadvantaged,PFAS/EC,LSL,"Construction
Start","Construction
End",Design Date,Milestone / Project Type,Project Description,Total Cost ($),Green Cost ($),"MDE Requested
Funding ($)"
22,80,WATER REUSE PROJECT - WESTMINSTER,DW0028,38000,MD0060015,SARA IMHULSE / CITY OF WESTMINSTER,Carroll,52,,Y,Y,PUBLIC,Large,Y,N,N,02/01/2025,12/31/2026,07/01/2022,"Construction, Design, Treatment (GREEN-Water)",PROBLEM: Water supply is susceptible to extreme shortages in drought conditions; insufficient drought hardiness. PROJECT: Construct indirect water reuse facility for drinkable water treatment and reuse; demolish buildings and piping.,"$28,711,402","$16,000,000","$16,000,000"
23,79,PFAS TREATMENT AT BYNUM WELL STATION,DW0039,15500,MD0120003,LAURA RUNKLE / MARYLAND AMERICAN WATER COMPANY,Harford,REG,1,Y,Y,PRIVATE,Large,N,Y,N,10/01/2026,12/31/2027,07/01/2025,"Construction, Design, Treatment, Compliance",PROBLEM: Concentration of certain PFAS/PFOA chemicals in well have exceeded EPA's maximum contaminant levels. PROJECT: P/D/C - Granular Activated Carbon (GAC) adsorption system to remove PFAS/PFOA at Bynum Well.,"$5,000,000",,"$5,000,000"
24,75,DOLPHIN ROAD WATER MAIN REPLACEMENT,DW0077,445,MD0150005,CAVILLE STANBURY-WOOLERY / WASHINGTON SUBURBAN SANITARY COMMISSION,Prince George's,4,22,Y,Y,PUBLIC,Large,Y,N,N,09/01/2026,09/30/2028,11/18/2021,"Construction, Design, Transmission/Distribution","PROBLEM: Aged cast iron water mains deteriorating/need replacement; frequent breaks & leaks; public health concern. PROJECT: Construct replacement of approximately 2 miles of 6"" to 10"" water mains.","$5,500,000",,"$5,500,000"
25,75,BUCKLER ROAD WATER MAIN REPLACEMENT,DW0073,555,MD0150005,CAVILLE STANBURY-WOOLERY / WASHINGTON SUBURBAN SANITARY COMMISSION,Prince George's,25,4,Y,Y,PUBLIC,Large,Y,N,N,04/01/2026,11/30/2027,07/01/2021,"Construction, Design, Transmission/Distribution",PROBLEM: Aged cast iron water mains deteriorating/need replacement; frequent breaks & leaks; public health concern. PROJECT: Construct replacement of more than 2 miles of water mains.,"$5,429,932",,"$5,429,932"
26,75,CARDEROCK SPRINGS WATER MAIN REPLACEMENT,DW0074,615,MD0150005,CAVILLE STANBURY-WOOLERY / WASHINGTON SUBURBAN SANITARY COMMISSION,Montgomery,16,8,Y,2,PUBLIC,Large,N,N,N,08/01/2026,12/31/2028,12/01/2025,"Construction, Design, Transmission/Distribution",PROBLEM: Aged cast iron water mains deteriorating/need replacement; frequent breaks & leaks; public health concern. PROJECT: Construct replacement of more than 2 miles of water mains.,"$8,125,000",,"$8,125,000"
27,75,MIDDLETOWN 1894 SPRINGLINE REPLACEMENT - PHASES 2 AND 3,DW0033,4500,MD0100018,PAUL MANTELLO / BURGESS AND COMMISSIONERS OF MIDDLETOWN,Frederick,4,6,Y,2,PUBLIC,Small,N,N,N,03/01/2026,09/30/2026,09/01/2025,"Construction, Design, Transmission/Distribution","PROBLEM: Cracks, corrosion, and exposed parts of springline well past its useful life, causing loss of water flow. PROJECT: D/C - Replacement of cast iron sections of 130-year old springline with lead sealed joints to improve water flow/quality.","$1,712,000",,"$1,627,000"
28,75,FILTER REPLACEMENT AND SCADA UPGRADES AT PALEO WTP,DW0012,39233,MD0220004,CORI CAMERON / CITY OF SALISBURY,Wicomico,38B,01,Y,Y,PUBLIC,Large,Y,N,N,05/01/2026,11/30/2027,11/01/2021,"Construction, Design, Transmission/Distribution",PROBLEM: Filters have exceeded useful life; SCADA computer program is outdated & needs upgrades for communication with new filters. PROJECT: Construct replacement w/new green sand pressure filters; modify pipe gallery; new filter building; upgrade SCADA system.,"$16,456,737",,"$16,160,000"
29,70,DEPOT STREET WATER PROJECT,DW0093,70,MD0010009,BRYNN LAIRD / ALLEGANY COUNTY COMMISSIONERS,Allegany,6,01B,Y,2,PUBLIC,Small,Y,N,N,03/01/2026,09/30/2026,07/01/2025,"Construction, Design, Transmission/Distribution","PROBLEM: Failing small private water co unable to O&M systems connected to City of Frostburg water sys; small 2"" dia water lines failing. PROJECT: P/D/C - Replacement of approx. 3,000 LF water line, 10 water svcs/appurt to replace; project restores T/M compliance.","$700,000",,"$700,000"
30,70,COLLEGE GARDENS WATER MAIN REPLACEMENT,DW0075,168,MD0150005,CAVILL STANBURY-WOOLERY / WASHINGTON SUBURBAN SANITARY COMMISSION,Montgomery,8,17,Y,Y,PUBLIC,Large,N,N,N,08/01/2026,08/30/2028,08/01/2023,"Construction, Design, Transmission/Distribution","PROBLEM: Aging cast iron water mains are deteriorating; frequent breaks and leaks; public health concern. PROJECT: Construct replacement of approx. 2 miles of 4""Ð10"" water mains; replacement of 1,560 LF of 3"" cast iron pipe.","$4,967,330",,"$4,967,330"
31,70,FORT WASHINGTON ROAD WATER MAIN REPLACEMENT,DW0078,335,MD0150005,CAVILLE STANBURY-WOOLERY / WASHINGTON SUBURBAN SANITARY COMMISSION,Prince George's,4,26,Y,Y,PUBLIC,Large,Y,N,N,08/01/2026,08/30/2028,12/01/2021,"Construction, Design, Transmission/Distribution","PROBLEM: Aging cast iron water mains are deteriorating; frequent breaks and leaks; public health concern. PROJECT: Construct replacement of approx. 2 miles of 4""Ð12"" water mains.","$5,960,324",,"$5,960,324"
