Rank,Points,Project Title,Project Number,Benefited Population,Problem Description,Project Description,Applicant Name,County,Leg District,Cong District,W/S,PFA,Public/Private,System Size,Disadvantaged,Start Date,End Date,Total Cost ($),Green Cost ($),CD Code,Audit,Plan,Green(W),Design Date,Project Type,Compliance,Requested Funding,PWSID
21,57,"TOWN CREEK WATER SYSTEM, PHASE 2",DW0025,230,AGING WATER DISTRIBUTION SYSTEM W/GALVANIZED LINES THAT ARE UNDERSIZED AND DETERIORATING,"P/D/C NEW DISTRIBUTION SYSTEM OF 7500 LF OF 8"" LINES, 92 SERVICE LINES, NEW VALVES, HYDRANTS AND RADIO READ METERS","JOY POTTER, ST. MARY'S COUNTY METROPOLITAN COMMISSION",St. Mary's,29C,5,Y,Y,PUBLIC,Large,0,01/01/2022,03/31/2022,3098991,0,1,Y,Y,,06/01/2019,TRANSMISSION/DISTRIBUTION,,"3,098,991",MD0180007
22,55,SNOW HILL COULBOURNE LANE WELL BACKUP POWER,DW0036,2368,TOWN'S LARGEST DRINKING WATER PRODUCTION WELL LACKS BACKUP POWER; LOSS OF POWER SIGNIFICANTLY AFFECTS SYSTEM FLOW/PRESSURE,D/C INSTALLATION OF AN EMERGENCY GENERATOR AND AUTOMATIC BACKUP SWITCH,"GARY WEBER, TOWN OF SNOW HILL",Worcester,28B,1,Y,Y,PUBLIC,Small,1,06/01/2022,07/31/2022,202060,0,1,Y,Y,,07/01/2021,SOURCE,,"197,060",MD0230007
23,52,BOWIE WATER TREATMENT PLANT WELL REPLACEMENT,DW0024,25500,"WELL #6 HAS SEAM FAILURE, RESULTING IN SEDIMENT FILL AT THE BOTTOM",P/D/C REPLACEMENT OF WELL #6 OR REHAB OF WELL #5,"SAM KUMAR, CITY OF BOWIE",Prince George's,23B,5,Y,Y,PUBLIC,Large,0,11/01/2022,10/31/2023,1075000,0,1,Y,Y,,11/01/2021,TRANSMISSION/DISTRIBUTION,,"1,075,000",MD0160002
24,50,GREEN MEADOWS WATER COMPANY WATER SYSTEM RESTORATION - STORAGE,DW0013,83,AGING PRIVATE SYSTEM IN NEED OF UPDATING; CURRENT TANK OPERATING BEYOND NORMAL EXPECTED LIFE,"D/C INSTALLATION OF NEW 5300 G HYDROPNEUMATIC STORAGE TANK, REPLACE PUMPHOUSE PLUMBING AND INSTALL NEW FLOW METERS","KENNETH BONECK, GREEN MEADOWS WATER COMPANY, INC.",Charles,28,5,Y,2,PRIVATE,Small,0,07/01/2022,10/31/2023,150000,0,2,,,,12/01/2021,STORAGE,Y,"138,900",MD0080017
25,47,TOWN OF FEDERALSBURG WATER METER UPGRADES,DW0010,2800,AGING MANUAL READ METERS ARE INACCURATE,D/C REPLACE ALL ~1143 METERS WITH RADIO READ TO IMPROVE BILLING,"LAWRENCE P. DIRE, MAYOR AND COUNCIL OF THE TOWN OF FEDERALSBURG",Caroline,37B,1,Y,Y,PUBLIC,Small,1,05/01/2022,12/31/2022,972834,942834,1,,,Y,06/01/2021,TRANSMISSION/DISTRIBUTION,,"942,834",MD0050002
26,47,TOWN OF FEDERALSBURG WELL SCADA PROJECT,DW0009,2800,TOWN HAS NO INTERNAL MONITORING THAT ALERTS TO BREAKS/SYSTEM ISSUES,P/D/C INSTALLATION OF SCADA SYSTEM TO IMPROVE OPERATIONAL EFFICIENCY/IMPROVE UNIFORMITY OF CHLORINE DOSING,"LAWRENCE P. DIRE, MAYOR AND COUNCIL OF THE TOWN OF FEDERALSBURG",Caroline,37B,1,Y,Y,PUBLIC,Small,1,05/01/2022,09/30/2022,200160,200160,1,,,Y,06/01/2020,TRANSMISSION/DISTRIBUTION,,"200,160",MD0050002
27,47,BOWIE LOW LIFT PUMP STATION UPGRADE,DW0022,25500,AGING LOW LIFT PUMP STATION AT WATER TREATMENT PLANT,"P/D/C UPGRADES OF COMPONENTS, INC. EMERGENCY STOP CONTROLS, PUMPS/MOTORS, CHECK VALVES, MOTOR CONTROL CENTER","SAM KUMAR, CITY OF BOWIE",Prince George's,23B,5,Y,Y,PUBLIC,Large,0,08/01/2022,10/31/2023,1300000,0,1,Y,Y,,07/01/2021,TREATMENT,,"1,300,000",MD0160002
28,45,TOWN OF HEBRON WATER TREATMENT PLANT,DW0034,1575,AGING/INEFFICIENT WTP NOT CONFIGURED TO WORK IN CONJUNCTION WITH PLANNED NEW WATER TOWER (SEE DW0033/23),P/D/C NEW EFFICIENT WTP CONFIGURED TO WORK IN CONJUNCTION W/PLANNED NEW WATER TOWER,"ROBERT D. RAUCH P.E., TOWN OF HEBRON",Wicomico,37A,1,Y,Y,PUBLIC,Small,1,11/01/2021,10/31/2022,611162,0,1,,,,04/01/2021,TREATMENT,,"565,036",MD0220002
29,42,BOWIE WATER TREATMENT PLANT SCADA IMPLEMENTATION,DW0023,25500,FREQUENT PROCESS CONTROL COMMUNICATION ISSUES AT WTP,P/D/C SCALABLE SCADA SYSTEM,"SAM KUMAR, CITY OF BOWIE",Prince George's,23B,5,Y,Y,PUBLIC,Large,0,07/01/2022,06/30/2024,400000,0,1,Y,Y,,04/01/2021,TREATMENT,,"400,000",MD0160002
30,42,WC-1229 VERNON PUMPING STATION REHABILITATION,DW0005,1800000,AGING PUMPING STATION NECESSARY PART OF SYSTEM TO PROVIDE SAFE/RELIABLE DRINKING WATER,"CONSTRUCT REPAIR/REPLACE/REHAB OF EQUIPMENT, SYSTEMS, AND STRUCTURE INC. INSTALLATION OF EMERGENCY GENERATOR","TROY BROGDEN, MAYOR & CITY COUNCIL OF BALTIMORE",Baltimore City,43,7,Y,Y,PUBLIC,Large,1,02/01/2022,06/30/2025,56008270,0,1,Y,Y,,08/01/2015,TRANSMISSION/DISTRIBUTION,,"26,244,000",MD300002
31,42,WC-1229 VERNON PUMPING STATION REHABILITATION,DW0038,?,AGING PUMPING STATION NECESSARY PART OF SYSTEM TO PROVIDE SAFE/RELIABLE DRINKING WATER,"CONSTRUCT REPAIR/REPLACE/REHAB OF EQUIPMENT, SYSTEMS, AND STRUCTURE INC. INSTALLATION OF EMERGENCY GENERATOR","ROBERT J. BURROS, BALTIMORE COUNTY, MARYLAND",Baltimore County,43,7,Y,Y,PUBLIC,Large,1,02/01/2022,06/30/2025,0,0,1,Y,Y,,06/01/2015,TRANSMISSION/DISTRIBUTION,,"22,403,308",MD3000002
32,40,SMITHSBURG WATER METER REPLACEMENT/UPGRADE PROGRAM,DW0030,3000,LARGE PORTION OF TOWN ON AGING MANUAL READ METERS,"CONSTRUCT REPLACEMENT OF ~1200 WATER METERS TO FULLY AUTOMATIC METER READING SYSTEM, INC VAULTS, FOR IMPROVED EFFICIENCY","DEBRA SMITH, TOWN OF SMITHSBURG",Washington,2A,6,Y,Y,PUBLIC,Small,0,12/01/2021,06/30/2022,615000,615000,1,Y,,Y,,TRANSMISSION/DISTRIBUTION,,"615,000",MD0210018
33,40,SALISBURY WATER METER CONVERSION AMR V.4 TO AMI V.5,DW0031,36205,EXISTING AMR V.4 METERS HAVE REACHED END OF 10-YEAR BATTERY LIFESPAN,"CONSTRUCT REPLACEMENT OF 11,367 UNITS W/ AMR V.5 THAT HAVE ANALOG BACKUP, REPLACE BOXES W/ R900i REGISTERS & INSTALL ANTENNAS","CHARLES F. KULP, CITY OF SALISBURY",Wicomico,38B,1,Y,2,PUBLIC,Large,1,01/01/2022,12/31/2022,3377000,3377000,1,Y,Y,Y,07/01/2021,TRANSMISSION/DISTRIBUTION,,"3,377,000",MD0220003
34,35,TOWN OF HEBRON WELL PROJECT,DW0032,1575,TWO ACTIVE PRODUCTION WELLS DO NOT PROVIDE ENOUGH VOLUME FOR NORMAL AND EXPECTED GROWTH,D/C A NEW WELL AND WATER DISINFECTION SYSTEM TO PUMP DIRECTLY TO NEW ELEVATED STORAGE TANK (SEE DW0033/23),"ROBERT D. RAUCH P.E., TOWN OF HEBRON",Wicomico,37A,1,Y,Y,PUBLIC,Small,1,11/30/2021,10/31/2022,240711,0,1,,,,04/01/2021,SOURCE,,"222,950",MD0220002
35,32,BOWIE WATER TREATMENT PLANT GENERATOR REPLACEMENT,DW0021,25500,AGING EMERGENCY GENERATOR AT BOOSTER STATION EXPERIENCING COMPONENT FAILURES,"CONSTRUCT REPLACEMENT OF GENERATOR, ASSOCIATED FUEL TANKS, AND AUTOMATIC TRANSFER SWITCH","SAM KUMAR, CITY OF BOWIE",Prince George's,23B,5,Y,Y,PUBLIC,Large,0,08/01/2022,11/30/2022,120000,0,1,Y,Y,,11/01/2021,TRANSMISSION/DISTRIBUTION,,"120,000",MD0160002
36,30,BERLIN SMART METER REPLACEMENT,DW0035,615,AGED AND INACCURATE WATER METERS DO NOT PROVIDE RELIABLE READINGS FOR BILLING PURPOSES AND LEAK DETECTION,P/D/C INSTALLATION OF ADVANCED METERING INFRASTRUCTURE AND 2000 SMART METERS,"JEFF FLEETWOOD, TOWN OF BERLIN",Worcester,38C,1,Y,2,PUBLIC,Small,1,11/01/2021,02/28/2022,1030575,1030575,1,,,Y,06/01/2021,TRANSMISSION/DISTRIBUTION,,"1,030,575",MD0230001
37,30,TOWN OF HEBRON WATER STORAGE TANK,DW0033,1575,"EXISTING 300,000 GALLON STORAGE TANK DOES NOT HAVE AN ADEQUATE BACKUP OR RESERVED CAPACITY STORAGE OPTION","P/D/C NEW 300,000 GALLON ELEVATED STORAGE TANK FOR SYSTEM REDUNDANCY, TO MEET DEMAND AND ACCOMMODATE PLANNED GROWTH","ROBERT D. RAUCH P.E., TOWN OF HEBRON",Wicomico,37A,1,Y,Y,PUBLIC,Small,1,11/01/2021,10/31/2022,1711872,0,1,,,,04/01/2021,STORAGE,,"1,587,150",MD0220002
38,15,WESLEY STINNETT WATER EXTENSION,DW0007,6375,SUBDIVISION AND AMERICAN LEGION POST SERVED BY PRIVATE WELL; LAST REMAINING PROPERTIES NOT SERVED BY PUBLIC WATER,"D/C 3,400 LF PVC TO CONNECT TO TOWN'S WATER SUPPLY; INC. WATER METERS AND HYDRANTS","HOLLY WAHL, TOWN OF CHESAPEAKE BEACH",Calvert,27C,5,Y,Y,PUBLIC,Small,0,04/01/2022,12/31/2022,1380000,0,1,,,,08/01/2021,TRANSMISSION/DISTRIBUTION,,"1,360,000",MD0040003
39,10,GREEN MEADOWS WATER COMPANY WATER SYSTEM RESTORATION - TREATMENT,DW0014,83,AGING PRIVATE SYSTEM IN NEED OF UPDATING,D/C NEW WATER TREATMENT SYSTEM THAT INTEGRATES WITH UPGRADED WATER STORAGE TANK SYSTEM,"KENNETH BONECK, GREEN MEADOWS WATER COMPANY, INC.",Charles,28,5,Y,2,PRIVATE,Small,0,07/01/2022,09/30/2022,12500,0,2,,,,12/01/2021,TREATMENT,,"11,575",MD0080017
