Municipality,Project Number,Project Description,Estimated Project Cost,Region,CME
"MAYVILLE, CITY OF",5443U16,UNDETERMINED: Well #3 Treatment Upgrades,"$3,000,000.00",SC,Zettl
"MEDFORD, CITY OF",4844U03,UNDETERMINED: Construct Well #14,"$1,500,000.00",NO,Andruczyk
"MILLTOWN, VILLAGE OF",5673-01,UNDETERMINED: Replace Elevated Storage Tank,"$2,000,000.00",NO,Cameron
"MONTELLO, CITY OF",5528U09,UNDETERMINED: Construct New Well #3,"$1,725,000.00",NE,Hannes
"MONTREAL, CITY OF",5621U07,UNDETERMINED: Replace Booster Station,"$800,000.00",NO,Andruczyk
"MONTREAL, CITY OF",5621U08,UNDETERMINED: Replace Transmission Main,"$2,600,000.00",NO,Andruczyk
"MUKWONAGO, VILLAGE OF",4854U05,UNDETERMINED: Treatment for Radium at Well #3,"$8,058,400.00",SE,Binder
"NEW GLARUS, VILLAGE OF",5623U05,UNDETERMINED: Replace Booster Station & Connecting Main,"$200,000.00",SC,Zettl
"NEW LISBON, CITY OF",5450U08,UNDETERMINED: New Well to Replace Well #5,"$2,100,000.00",WC,Cameron
"NEW LISBON, CITY OF",5450U09,UNDETERMINED: Treat Well #5 for VOCs,"$2,300,000.00",WC,Cameron
"NEW RICHMOND, CITY OF",4861U12,UNDETERMINED: Construct Elevated Water Tower,"$4,000,000.00",WC,Cameron
"NIAGARA, CITY OF",4862U08,UNDETERMINED: Replace 100k Gallon Storage Tank,"$2,528,250.00",NE,Hannes
"NORTH FOND DU LAC, VILLAGE OF",4863U17,UNDETERMINED: Construction Well #5,"$1,576,800.00",NE,Hannes
"OCONTO FALLS, CITY OF",4870-08,UNDETERMINED: Replace WM on Columbia St,"$2,800,000.00",NE,Hannes
"PEWAUKEE, VILLAGE OF",5250U08,UNDETERMINED: Temporary PFAS Treatment at Well #6 (EC),"$800,000.00",SE,Binder
"POTOSI, VILLAGE OF",5604U03,UNDETERMINED Construct Redundant WM,"$350,000.00",SC,Zettl
"POTOSI, VILLAGE OF",5604U05,UNDETERMINED: Rehab Reservoir,"$750,000.00",SC,Zettl
"RIPON, CITY OF",5289U20,UNDETERMINED: Construct Bridge Looping Main,"$1,000,000.00",NE,Hannes
"RIPON, CITY OF",5289U22,UNDETERMINED: Construct Public Works Building,"$1,950,000.00",NE,Hannes
"ROTHSCHILD, VILLAGE OF",4896U16,UNDETERMINED: Construct 200k Gallon Water Tower,"$1,000,000.00",WC,Andruczyk
"ROTHSCHILD, VILLAGE OF",4896U19,UNDETERMINED: Construct Looping Main (STH BUS 51),"$300,000.00",WC,Andruczyk
"ROTHSCHILD, VILLAGE OF",4896U17,UNDETERMINED: Construct Well #7,"$1,000,000.00",WC,Andruczyk
"ROTHSCHILD, VILLAGE OF",4896U15,UNDETERMINED: Install Additional Gravity Treatment for Fe/Mn,"$3,500,000.00",WC,Andruczyk
"TENNYSON, VILLAGE OF",5509U04,UNDETERMINED Construct Redundant WM,"$350,000.00",SC,Zettl
"TOMAHAWK, CITY OF",5342U05,"UNDETERMINED Construct New Well #6, well station, SCADA","$3,400,000.00",NO,Andruczyk
"TOMAHAWK, CITY OF",5342U07,UNDETERMINED: Replace WM on Nelson Dr,"$260,000.00",NO,Andruczyk
"WASHBURN, CITY OF",4947U05,UNDETERMINED: Water Main Replacement on STH 13,"$3,017,400.00",NO,Andruczyk
"WATERLOO, CITY OF",4962U12,UNDETERMINED: Construct East Side Looping Main,"$400,000.00",SC,Zettl
"WATERLOO, CITY OF",4962U09,UNDETERMINED: Construct Looping Main off of Maple Dr,"$550,000.00",SC,Zettl
"WAUSAU, CITY OF",4930U23,UNDETERMINED: Stettin Looping Main between 48th and 52nd Aves,"$1,200,000.00",WC,Andruczyk
"WESTBY, CITY OF",5440U06,UNDETERMINED Construct elevated storage reservoir in NW area,"$2,541,000.00",WC,Cameron
"WINDSOR, VILLAGE OF",5649U02,UNDETERMINED: Replace WM on CTH CV from STH 19 to Windsor,"$1,980,000.00",SC,Zettl
"WINDSOR, VILLAGE OF",5649U03,UNDETERMINED: Replace WM on CTH CV from Vinbum to Windsor,"$700,000.00",SC,Zettl
"WINDSOR, VILLAGE OF",5649U04,UNDETERMINED: Replace WMs on Morrison & Maple St,"$1,400,000.00",SC,Zettl
"WISCONSIN DELLS, CITY OF",4996U05,UNDETERMINED: Construct Looping Main on River Rd,"$700,000.00",SC,Zettl
"WISCONSIN DELLS, CITY OF",4996U07,UNDETERMINED: Construct Water Department Building,"$4,325,000.00",SC,Zettl
"WISCONSIN DELLS, CITY OF",4996U06,UNDETERMINED: Replace WM on Wis Dells Pkwy USH 12,"$1,200,000.00",SC,Zettl
"WYOCENA, VILLAGE OF",5343U01,UNDETERMINED: Replace WM on Polk St,"$301,000.00",SC,Zettl
"YORKVILLE, VILLAGE OF",5585U01,UNDETERMINED Construct New Well #2,"$1,600,000.00",SE,Zettl
