"IUP Part",Project Entity,Project ID,"PPLrank","PPL points","System Population Served",Project Description,"Binding Commitment Date","EC Amount","Total Project Costs",Equivalency,
Part B-1,Grand Rapids,1310011-04,474,12,"11,158",Treatment - Treatment Plant Improvements,,,"10,000,000",Tbd,
Part B-1,Beardsley,1060002-02,486,12,195,Watermain - Replace & Loop,,,"5,904,400",Tbd,
Part B-1,Emmons,1240007-01,493,12,384,Source - New Wells,,,"1,800,000",Tbd,
Part B-1,Eden Valley,1470012-07,499,12,"1,034",Watermain - Southwest Improvement Projec,,,"2,268,500",Tbd,
Part B-1,Le Sueur,1400010-06,502,12,"4,174",Treatment - Plant Rehab,,,"4,000,000",Tbd,
Part B-1,Two Harbors,1380005-11,507,12,"3,698",Watermain - TH 61 Replace/Loop,,,"3,772,900",Tbd,
Part B-1,New London,1340005-06,510,12,"1,193",Watermain - 2025 Improvements,,,"1,881,140",Tbd,
Part B-1,Northfield,1660010-02,512,12,"19,449",Treatment - Gravity Filters and RO,,,"33,450,000",Tbd,
Part B-1,Henderson,1720006-02,513,12,926,Treatment - New Iron Removal Plant,,,"6,000,000",Tbd,
Part B-1,Hollandale,1240013-02,516,12,338,Treatment - New TP,,,"4,989,000",Tbd,
Part B-1,Harris,1130005-05,517,12,890,Watermain - Looping,,,"1,364,000",Tbd,
Part B-1,Harris,1130005-06,518,12,890,Source - New Well,,,"1,789,000",Tbd,
Part B-1,Mendota,1190030-02,519,12,140,Watermain - Area 1 Loop,,,"1,795,000",Tbd,
Part B-1,Chisago City,1130003-01,520,12,"5,576",Treatment - Wellhouses Improvements,,,"2,500,000",Tbd,
Part B-1,Chisago City,1130003-02,521,12,"3,563",Treatment - W4 Treatment Plant,,,"11,230,000",Tbd,
Part B-1,Ghent,1420004-01,529,11,497,Storage - New Tower,,,"1,955,100",Tbd,
Part B-1,Braham,1300001-06,533,10,"1,789",Source - W2 Transmission Line,,,"765,000",Tbd,
Part B-1,Braham,1300001-07,534,10,"1,789",Watermain - Cty 54 Replacement,,,"451,450",Tbd,
Part B-1,Brainerd,1180002-07,551,10,"13,590",Source - New Wells,,,"11,200,000",Tbd,
Part B-1,Cuyuna,1180011-05,553,10,231,Storage - Replace with New Tower,,,"616,800",Tbd,
Part B-1,Cuyuna,1180011-06,554,10,231,Watermain - Replace for City,,,"1,273,155",Tbd,
Part B-1,Cuyuna,1180011-07,555,10,231,Conservation - Replace Meters,,,"55,650",Tbd,
Part B-1,Walker,1110013-10,560,10,937,Watermain - Westside Area,,,"1,830,000",Tbd,
Part B-1,Blackduck,1040014-02,561,10,675,Watermain - Replacement,,,"6,584,500",Tbd,
Part B-1,Blackduck,1040014-03,562,10,675,Storage - Tower Rehab,,,"450,000",Tbd,
Part B-1,Brainerd,1180002-05,569,10,"13,373",Conservation-Backwsh Collection & System,,,"13,300,000",Tbd,
Part B-1,Appleton,1760001-03,579,10,"1,339",Watermain - Replace 20 Blocks,,,"6,250,000",Tbd,
Part B-1,Palisade,1010013-03,593,10,165,Storage - Tower Improvements,,,"779,000",Tbd,
Part B-1,Palisade,1010013-04,594,10,165,Source - Well #2 Replacement,,,"260,500",Tbd,
Part B-1,Ada,1540001-03,595,10,"1,709",Watermain - Repl Various Areas,,,"1,800,000",Tbd,
Part B-1,Heron Lake,1320002-03,596,10,691,"Storage - Replace 100,000 Gal Tower",,,"1,000,000",Tbd,
Part B-1,Staples,1770011-09,608,10,"1,859",Watermain - 4th St NE Impvrovements,,,"1,884,900",Tbd,
Part B-1,Jeffers,1170002-01,612,10,342,Storage - Tower Rehab,,,"740,000",Tbd,
Part B-1,Pipestone,1590005-10,623,10,"4,317",Watermain - Replace NE Area - Phase 3,,,"801,894",Tbd,
Part B-1,Tracy,1420010-04,628,10,"2,179",Watermain - Loop and Replace,,,"7,439,000",Tbd,
Part B-1,Houston,1280005-04,631,10,980,"Watermain - Jackson, Lincoln, Spruce Sts",,,"703,000",Tbd,
Part B-1,Meadowlands,1690034-01,635,10,135,Source - Well/Wellhouse Improvements,,,"1,110,000",Tbd,
Part B-1,Meadowlands,1690034-02,636,10,135,Storage - Tower Rehab,,,"715,000",Tbd,
Part B-1,Meadowlands,1690034-03,637,10,135,Watermain - Replacement,,,"2,840,000",Tbd,
Part B-1,Gibbon,1720004-04,639,10,824,Storage - New Tower,,,"3,002,400",Tbd,
Part B-1,Dennison,1250021-02,648,10,173,Source - New Wells,,,"385,000",Tbd,
Part B-1,Crosby,1180008-14,652,10,"2,519",Watermain - Phase 3B Imp.2026,,,"2,221,000",Tbd,
Part B-1,Menahga,1800001-06,654,10,"1,087",Watermain - First St. SW/Second St N,,,"1,504,000",Tbd,
Part B-1,Henning,1560016-13,661,10,851,Storage - Tower Rehab,,,"700,000",Tbd,
Part B-1,Lanesboro,1230006-03,662,10,788,Watermain - Repl TH250,,,"2,695,000",Tbd,
Part B-1,Ely,1690014-05,666,10,"3,280",Watermain - Water Plant to Tower,,,"497,000",Tbd,
Part B-1,McKinley,1690033-03,676,10,131,Watermain - Grand Ave. Improvements,,,"4,500,000",Tbd,
Part B-1,Hayward,1240012-02,678,10,227,Watermain - Replacement,,,"2,554,000",Tbd,
Part B-1,Ely,1690014-07,680,10,"3,258",Watermain - Sheridan St.,,,"957,000",Tbd,
Part B-1,Granada,1460004-05,706,10,247,Conservation - Replace Meters,,,"163,000",Tbd,
Part B-1,Fertile,1600008-05,707,10,931,Conservation - Meter Replacement,,,"454,000",Tbd,
Part B-1,Elbow Lake,1260003-08,709,10,"1,125",Storage - Tower Rehab,,,"700,000",Tbd,
Part B-1,Calumet,1310004-05,727,10,341,Watermain - 4th Ave & Alley,,,"287,483",Tbd,
Part B-1,Calumet,1310004-06,728,10,341,Watermain - 6th Ave & Shipka St,,,"337,978",Tbd,
