"",,,MPFA,,,
RANK SYSTEM,,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
135 Elbow Lake,,Other - LSL Replacement,1260003-09,20,"1,285","$67,500"
136 Winsted,,Other - LSL Replacement,1430010-09,20,"1,912","$500,000"
137 Wabasha,,Other - LSL Replacement,1790013-06,20,"2,477","$69,750"
138 Red Wing,,Other - LSL Replacement,1250013-14,20,"16,366","$4,933,500"
139 Breckenridge,,Other - LSL Replacement,1840002-05,20,"3,390","$840,000"
140 Clarkfield,,Other - LSL Replacement,1870002-09,20,841,"$18,750"
141 Raymond,,Other - LSL Replacement,1340008-05,20,722,"$37,500"
142 Emmons,,Other - LSL Replacement,1240007-05,20,384,"$196,875"
143 Litchfield,,Other - LSL Replacement,1470008-08,20,"6,786","$525,000"
144 Atwater,,Other - LSL Replacement,1340001-11,20,"1,136","$232,400"
145 Duluth,,Other - LSL Repl Phase 5,1690011-17,20,"86,711","$3,876,000"
"",,,MPFA,,,
RANK SYSTEM,,PROJECT,PROJECT ID,POINTS,POPULATION,PROJECT COST
146 Duluth,,Other - LSL Repl Phase 6,1690011-18,20,"86,711","$300,000"
147 Duluth,,Other - LSL Repl Phase 7,1690011-19,20,"86,711","$3,360,000"
148 Duluth,,Other - LSL Repl Phase 8,1690011-20,20,"86,711","$3,360,000"
149 Rich Prairie Sewer and Water District,,Other - LSL Replacement,1490004-06,20,"1,500","$496,700"
150 Rich Prairie Sewer and Water District,,Other - 2025 LSL Replacement,1490004-07,20,"1,418","$643,700"
151 Foley,,Other - LSL Phase 2,1050001-12,20,"2,705","$965,520"
152 Barrett,,Other - LSL Replacement,1260002-06,20,374,"$93,750"
153 Battle Lake,,Other - LSL Replacement,1560001-07,20,918,"$495,000"
154 Avoca,,Treatment - Manganese TP & Well Pump,1510001-02,20,142,"$210,435"
155 Granite Falls,,Other - LSL Replacement,1870004-03,20,"2,423","$1,060,000"
156 Greenbush,,Other - LSL Replacement,1680002-14,20,680,"$56,000"
157 Wells,,Other - LSL TH22/TH109,1220010-07,20,"2,343","$581,250"
158 Wells,,Other - LSL Phase 1,1220010-08,20,"2,343","$712,500"
159 Saint Cloud,,Other - LSL Pan Park Phase 4,1730027-28,20,"68,910","$155,940"
160 Saint Cloud,,Other - LSL Lincoln Ave,1730027-29,20,"68,910","$90,965"
161 Saint Cloud,,Other - LSL University Dr,1730027-30,20,"68,910","$141,760"
162 Saint Cloud,,Other - LSL Park Addition,1730027-31,20,"68,910","$1,667,250"
163 Saint Cloud,,Other - LSL Emergency Replacement,1730027-32,20,"68,910","$604,750"
164 Lyle,,Other - LSL Replacement,1500011-03,20,524,"$362,500"
165 Mountain Lake,,Other - LSL Replacement,1170003-06,20,"2,018","$1,590,000"
166 Blue Earth Light and Water,,Watermain - South Linton Area,1220001-10,20,"3,174","$3,284,922"
167 Blue Earth Light and Water,,Other - LSL Phase 2,1220001-12,20,"3,174","$1,950,000"
168 Blue Earth Light and Water,,Other - LSL Central Linton,1220001-13,20,"3,174","$656,250"
169 Lamberton,,Watermain - Phase 2 2nd Ave & Main,1640003-15,20,828,"$2,568,000"
170 Lamberton,,Other - LSL Phase 2,1640003-16,20,828,"$187,500"
171 Lamberton,,Watermain - Phase 3 5th Ave & Fir,1640003-17,20,828,"$2,995,000"
172 Lamberton,,Other - LSL Phase 3,1640003-18,20,828,"$131,250"
173 Lamberton,,Watermain - Phase 4 7th Ave & Cherry,1640003-19,20,828,"$2,631,000"
