"IUPPart",Project Entity,Project ID,"PPLrank","PPLpoints","SystemPopulationServed",Project Description,"BindingCommitmentDate","Part BRequestedLSLs","Part BKnownLSLs","TotalProjectCosts","IUPApprovedAmount"
Part A-2,Rich Prairie SWD,1490004-06,149,20,"1,500",Other-LSL Replacement,09/03/25,,,"283,648","283,648"
Part A-2,Rich Prairie SWD,1490004-07,150,20,"1,418",Other-LSL Replacement-2025,09/03/25,,,"348,300","348,300"
Part A-2,Rochester,1550010-03,347,15,"120,848",Other-LSL Replacement-2025,10/27/25,,,"375,000","375,000"
Part A-2,Saint Cloud,1730027-27,109,20,"54,937",Other-LSL Replacement-Pantown,,,,"1,183,000","1,183,000"
Part A-2,Saint Cloud,1730027-28,159,20,"68,910",Other-LSL Replacement-Pan Park Phase 4,,,,"155,940","155,940"
Part A-2,Saint Cloud,1730027-29,160,20,"68,910",Other-LSL Replacement-Lincoln Ave,09/22/25,,,"90,965","90,965"
Part A-2,Saint Cloud,1730027-30,161,20,"68,910",Other-LSL Replacement-Other-LSL University Dr,08/04/25,,,"61,054","61,054"
Part A-2,Saint Cloud,1730027-31,162,20,"68,910",Other-LSL Replacement-Park Addition,09/22/25,,,"1,667,250","1,667,250"
Part A-2,Saint Cloud,1730027-32,163,20,"68,910",Other-LSL Replacement-Emergency Replacement,09/22/25,,,"604,751","604,751"
Part A-2,Saint Paul RWS,1620026-26,218,20,"309,751",Other-LSL Replacement-Phase 4,09/18/25,,,"35,000,000","35,000,000"
Part A-2,Saint Paul RWS,1620026-28,271,20,"308,806",Other-LSL Replacement-2025 leaking,09/18/25,,,"600,000","600,000"
Part A-2,Sauk Rapids,1050004-13,255,20,"13,830",Other-LSL Replacement-2025,10/02/25,,,"661,800","661,800"
Part A-2,South Saint Paul,1190020-04,217,20,"20,132",Other-LSL Replacement,,,,"3,115,000","3,115,000"
Part A-2,Stillwater,1820024-01,380,15,"19,316",Other-LSL Replacement,08/12/25,,,"1,259,186","1,259,186"
Part A-2,Thief River Falls,1570003-02,238,20,"8,871",Other-LSL Replacement,11/05/25,,,"768,000","768,000"
Part A-2,Wabasha,1790013-06,137,20,"2,477",Other-LSL Replacement,10/15/25,,,"69,750","69,750"
Part A-2,Wells,1220010-05,69,20,"2,283",Other-LSL Replacement,10/06/25,,,"19,072","19,072"
Part A-2,Winnebago,1220011-07,97,20,"1,253",Other-LSL Replacement-Cleveland Ave,,,,"23,500","23,500"
Part B-2,Adams,1500001-08,350,15,672,Other-LSL Replacement,,7,7,"481,000","175,000"
Part B-2,Albert Lea,1240001-06,209,20,"18,433",Other-LSL Replacement-2026,,120,143,"1,500,000","1,000,000"
Part B-2,Alden,1240004-08,233,20,680,Other-LSL Replacement,,12,13,"375,000","300,000"
Part B-2,Amboy,1070001-04,8,25,535,Other-LSL Replacement,,8,8,"200,000","200,000"
Part B-2,Appleton,1760001-05,35,20,"1,412",Other-LSL Replacement,,44,47,"1,000,000","1,000,000"
Part B-2,Aurora,1690002-08 1690002-10,24,20,"1,709",Other-LSL Replacement-(W 1st Ave N) Other-LSL Replacement-(W 3rd Ave/Main),,58,3,696000,"75,000"
Part B-2,Barrett,1260002-06,152,20,374,Other-LSL Replacement,,5,5,"125,000","125,000"
Part B-2,Battle Lake,1560001-07,153,20,918,Other-LSL Replacement,,24,24,"600,000","600,000"
Part B-2,Bellechester,1250006-01,175,20,169,Other-LSL Replacement,,8,8,"262,500","200,000"
Part B-2,Bellingham,1370001-05,100,20,168,Other-LSL Replacement,,6,6,"150,000","150,000"
Part B-2,Bemidji,1040002-02,18,20,"15,147",Other - LSLR Phase 1,,130,116,"2,700,000","1,000,000"
Part B-2,Bertha,1770001-07,118,20,557,Other-LSL Replacement,,9,9,"225,000","225,000"
Part B-2,Bird Island,1650001-08 1650001-13,24,20,960,Other-LSL Replacement,,15,15,250000,250000
Part B-2,Blooming Prairie,1740001-02,228,20,"1,977",Other-LSL Replacement,,16,16,"400,000","400,000"
Part B-2,Blue Earth,1220001-12 1220001-13,167,20,"3,174",Other - LSL Phase 2 Other-LSL Replacement-Central Linton,,114,238,2606250,"1,000,000"
Part B-2,Boyd,1370002-06,108,20,175,Other-LSL Replacement,,1,1,"25,000","25,000"
Part B-2,Brainerd,1180002-08 1180002-09 1180002-10,19,20,"13,590",Other-LSL Replacement-NE Other-LSL Replacement-Southside Phs 1 Other-LSL Replacement-TH 210,,279,1065,6750000,"2,675,000"
Part B-2,Brooten,1730005-09,70,20,646,Other-LSL Replacement,,91,110,"1,706,250","1,000,000"
Part B-2,Buffalo,1860005-09,297,20,"16,711",Other-LSL Replacement-2026,,74,71,"1,387,500","1,000,000"
Part B-2,Cambridge,1300002-04,258,20,"9,862",Other-LSL Replacement,,24,25,"600,000","600,000"
Part B-2,Cannon Falls,1250001-08,342,15,"4,237",Other-LSL Replacement,,88,78,"1,100,000","1,000,000"
Part B-2,Canton,1230001-01,87,20,310,Other-LSL Replacement,,59,71,"1,000,000","1,000,000"
Part B-2,Chisholm,1690007-06 1690007-09 1690007-10 1690007-11,117,20,"4,940",Other - LSL 2025 Replacement Other - LSL 4th St NW Other - LSL 5th St SW Other - LSL Heritage Manor,,120,801,"2,000,000","2,000,000"
Part B-2,Claremont,1200001-04,256,20,773,Other-LSL Replacement,,10,10,"250,000","250,000"
Part B-2,Clarkfield,1870002-09,140,20,841,Other-LSL Replacement,,1,1,"25,000","25,000"
Part B-2,Cloquet,1090005-04,226,20,"12,864",Other-LSL Replacement-Phase 1,,72,356,"2,270,625","1,000,000"
Part B-2,Coon Rapids,1020017-05,229,20,"61,476",Other-LSL Replacement-2026,,26,91,"1,600,000","650,000"
Part B-2,Cottonwood,1420002-04,325,15,"1,160",Other-LSL Replacement,,13,13,"325,000","325,000"
Part B-2,Crookston,1600002-01,106,20,"7,450",Other-LSL Replacement,,14,14,"350,000","350,000"
Part B-2,Crosby,1180008-15,45,20,"2,377",Other-LSL Replacement-Phase 3B Improvement,,58,290,"1,000,000","1,000,000"
Part B-2,Darfur,1830002-03,208,20,87,Other-LSL Replacement,,2,1,"44,000","25,000"
Part B-2,Dodge Center,1200002-01,335,15,"2,834",Other-LSL Replacement,,29,29,"4,567,500","725,000"
Part B-2,Duluth,1690011-23 1690011-30 1690011-31,221,20,"86,859",Other-LSL Replacement-40th Ave W Other-LSL Replacement-2026 leaking Other-LSL Replacement-2026,,621,"6,206",59638800,"15,525,000"
Part B-2,East Grand Forks,1600004-03,328,15,"9,067",Other-LSL Replacement,,9,9,"200,000","200,000"
Part B-2,Elbow Lake,1260003-09,135,20,"1,285",Other-LSL Replacement,,3,3,"75,000","75,000"
Part B-2,Emmons,1240007-05,142,20,384,Other-LSL Replacement,,3,3,"196,875","75,000"
Part B-2,Evansville,1210013-12,31,20,603,Other-LSL Replacement,,2,2,"50,000","50,000"
"IUPPart",Project Entity,Project ID,"PPLrank","PPLpoints","SystemPopulationServed",Project Description,"BindingCommitmentDate","Part BRequestedLSLs","Part BKnownLSLs","TotalProjectCosts","IUPApprovedAmount"
Part B-2,Eyota,1550006-01,345,15,"2,043",Other-LSL Replacement,,9,10,"225,000","225,000"
Part B-2,Fairfax,1650005-06,104,20,"1,295",Other-LSL Replacement,,31,22,"1,035,000","550,000"
Part B-2,Faribault,1660002-04,203,20,"23,718",Other-LSL Replacement-s 26-28,,178,545,"2,350,000","1,375,000"
Part B-2,Fergus Falls,1560014-02,76,20,"14,108",Other-LSL Replacement-Phase 1,,31,372,"775,000","775,000"
Part B-2,Floodwood,1690048-05,40,20,501,Other-LSL Replacement,,12,12,"1,875,000","300,000"
Part B-2,Foley,1050001-12,151,20,"2,705",Other-LSL Replacement-Phase 2,,46,81,"1,000,000","1,000,000"
Part B-2,Franklin,1650006-08,119,20,496,Other-LSL Replacement,,10,10,"373,750","250,000"
Part B-2,Glenville,1240010-02,17,20,566,Other-LSL Replacement-2026,,3,3,"455,000","75,000"
Part B-2,Golden Valley,1270014-02,387,15,"22,000",Other-LSL Replacement,,1,32,"25,000","25,000"
Part B-2,Goodhue,1250005-01,353,15,"1,200",Other-LSL Replacement,,13,18,"455,000","325,000"
Part B-2,Granite Falls,1870004-03,155,20,"2,423",Other-LSL Replacement-,,56,58,"1,060,000","1,000,000"
Part B-2,Greenbush,1680002-14,156,20,680,Other-LSL Replacement,,4,4,"100,000","100,000"
Part B-2,Harmony,1230005-02,241,20,"1,089",Other-LSL Replacement,,10,31,"250,000","250,000"
Part B-2,Hastings,1190012-04,299,20,"22,050",Other-LSL Replacement,,153,153,"3,993,750","1,000,000"
Part B-2,Hayfield,1200004-01,267,20,"1,364",Other-LSL Replacement,,6,15,"759,000","150,000"
Part B-2,Henning,1560016-10,39,20,806,Other-LSL Replacement,,36,36,"967,509","900,000"
Part B-2,Hibbing,1690022-29,124,20,"16,028",Other-LSL Replacement-2026,,52,52,"6,312,500","1,000,000"
Part B-2,Hinckley,1580005-04,41,20,"1,964",Other-LSL Replacement,,1,7,"25,000","25,000"
Part B-2,Houston,1280005-06,90,20,997,Other-LSL Replacement-Phase 2,,21,25,"725,000","525,000"
Part B-2,Howard Lake,1860010-11,198,20,"1,897",Other-LSL Replacement,,18,43,"450,000","450,000"
Part B-2,Ivanhoe,1410002-02,110,20,559,Other-LSL Replacement,,25,25,"843,750","625,000"
Part B-2,Jasper,1590004-01,68,20,623,Other-LSL Replacement-Phase 1,,51,51,"1,000,000","1,000,000"
Part B-2,Kasson,1200005-01,354,15,"6,850",Other-LSL Replacement,,25,25,"625,000","625,000"
Part B-2,Kenyon,1250007-02,329,15,"1,817",Other-LSL Replacement,,36,44,"2,960,000","900,000"
Part B-2,Kettle River,1090008-06,215,20,168,Other-LSL Replacement,,4,4,"100,000","100,000"
Part B-2,La Crescent,1280007-02,344,15,"5,029",Other-LSL Replacement,,183,204,"2,287,500","1,000,000"
Part B-2,Lake City,1790004-01,333,15,"5,042",Other-LSL Replacement,,30,235,"800,000","750,000"
Part B-2,Lamberton,1640003-16,170,20,828,Other-LSL Replacement-Phase 2,,10,39,"250,000","250,000"
Part B-2,Lanesboro,1230006-06,341,15,788,Other-LSL Replacement,,37,37,"5,800,000","925,000"
Part B-2,Le Sueur,1400010-13,280,20,"4,170",Other-LSL Replacement,,5,39,"202,400","125,000"
Part B-2,Lewiston,1850006-13,369,15,"1,520",Other-LSL Replacement,,40,40,"975,000","975,000"
Part B-2,Litchfield,1470008-08,143,20,"6,786",Other - LSL Replacement,,11,209,"525,000","275,000"
Part B-2,Lonsdale,1660006-03,360,15,"3,913",Other-LSL Replacement,,1,1,"25,000","25,000"
Part B-2,Lyle,1500011-03,164,20,524,Other-LSL Replacement,,29,42,"725,000","725,000"
Part B-2,Lynd,1420005-04,339,15,448,Other-LSL Replacement,,1,-,"52,500",-
Part B-2,Mankato,1070009-09,236,20,"42,803",Other-LSL Replacement,,258,258,"9,275,000","1,000,000"
Part B-2,Mantorville,1200006-02,388,15,"1,197",Other-LSL Replacement,,26,26,"600,000","600,000"
Part B-2,Maple Plain,1270021-06,283,20,"1,650",Other-LSL Replacement,,22,22,"550,000","550,000"
Part B-2,Marble,1310023-05,28,20,550,Other-LSL Replacement,,10,1,"991,875","25,000"
Part B-2,Milaca,1480002-05,82,20,"3,063",Other-LSL Replacement,,98,98,"1,715,000","1,000,000"
Part B-2,Minneapolis,1270024-16 1270024-20 1270024-25,245,20,"424,536",Other-LSL Replacement-Streets Year 3 Other-LSL Replacement-Green Zones Year 3 Other-LSL Replacement-2026 leaking,,"3,847","38,473","21,375,000","21,375,000"
Part B-2,Minnesota Lake,1220013-03,213,20,683,Other-LSL Replacement,,2,6,"50,000","50,000"
Part B-2,Moorhead,1140008-18 1140008-24 1140008-25,193,20,"44,583",Other-LSL Replacement-Phase 4 Other-LSL Replacement-Phase 5 Other-LSL Replacement-Phase 6,,32,210,1350000,"675,000"
Part B-2,Moose Lake,1090009-05,202,20,"1,782",Other-LSL Replacement-s,,31,31,"725,000","725,000"
Part B-2,Mora,1330001-06,103,20,"3,786",Other-LSL Replacement-2026,,89,61,"1,000,000","1,000,000"
Part B-2,Morton,1650010-01,223,20,400,Other-LSL Replacement-,,3,3,"75,000","75,000"
Part B-2,Mountain Lake,1170003-06,165,20,"2,018",Other-LSL Replacement,,45,44,"1,590,000","1,000,000"
Part B-2,New Auburn,1720007-06,264,20,456,Other-LSL Replacement,,2,21,"50,000","50,000"
Part B-2,New Prague,1400013-08,371,15,"8,247",Other-LSL Replacement-Phase 2,,80,78,"1,600,000","1,000,000"
Part B-2,New Ulm,1080003-05,187,20,"14,052",Other-LSL Replacement,,317,317,"8,525,000","1,000,000"
Part B-2,New York Mills,1560017-10,98,20,"1,287",Other-LSL Replacement,,17,17,"425,000","425,000"
Part B-2,Norwood Young America,1100019-06,260,20,"3,850",Other-LSL Replacement-Various Replacements,,4,35,"100,000","100,000"
Part B-2,Ortonville,1060008-11,102,20,"2,021",Other-LSL Replacement,,70,70,"2,992,500","1,000,000"
Part B-2,Ottertail,1560032-05,346,15,694,Other-LSL Replacement,,11,11,"225,000","225,000"
Part B-2,Park Rapids,1290003-09,57,20,"4,298",Other-LSL Replacement,,38,186,"1,574,500","950,000"
Part B-2,Pelican Rapids,1560019-09,240,20,"2,577",Other-LSL Replacement,,87,87,"2,592,607","1,000,000"
Part B-2,Perham,1560023-12 1560023-13 1560023-14 1560023-15,64,20,"3,421",Other-LSL Replacement-Phase 1 Other-LSL Replacement-Phase 2 Other-LSL Replacement-Phase 3 Other-LSL Replacement-Phase 4,,75,84,2092500,"1,000,000"
Part B-2,Peterson,1230009-02,252,20,213,Other-LSL Replacement,,24,24,"600,000","600,000"
Part B-2,Pine Island,1250012-02,359,15,"3,324",Other-LSL Replacement,,52,50,"3,710,000","1,000,000"
Part B-2,Pipestone,1590005-13 1590005-15,73,20,"4,273",Other-LSL Replacement-Main St. Area Other-LSL Replacement,,138,69,2962500,"1,000,000"
Part B-2,Plainview,1790012-05,270,20,"3,340",Other-LSL Replacement,,15,15,"759,000","375,000"
Part B-2,Prinsburg,1340007-06,379,15,497,Other - LSL Replacement,,2,5,"50,000","50,000"
Part B-2,Proctor,1690042-06,307,15,"3,099",Other - LSL Replacement,,15,26,"379,500","375,000"
Part B-2,Raymond,1340008-05,141,20,722,Other-LSL Replacement,,2,5,"50,000","50,000"
Part B-2,Red Wing,1250013-14,138,20,"16,366",Other-LSL Replacement,,160,525,"4,933,500","1,325,000"
Part B-2,Redwood Falls,1640008-04,204,20,"5,254",Other-LSL Replacement,,165,165,"4,470,000","1,000,000"
Part B-2,Rice Lake,1690049-06,366,15,"1,085",Other-LSL Replacement,,5,5,"126,500","125,000"
Part B-2,Rich Prairie SWD,1490004-08,122,20,"1,500",Other-LSL Replacement-2026,,55,55,"1,826,550","1,000,000"
Part B-2,Rochester,1550010-04,355,15,"121,395",Other-LSL Replacement-Phase 3,,215,576,"12,106,000","1,450,000"
Part B-2,Rose Creek,1500014-03,214,20,454,Other-LSL Replacement,,6,6,"450,000","150,000"
Part B-2,Royalton,1490006-08,111,20,"1,236",Other-LSL Replacement,,9,9,"300,000","225,000"
Part B-2,Ruthton,1590007-04,34,20,220,Other-LSL Replacement,,1,1,"25,000","25,000"
Part B-2,Sacred Heart,1650013-06,216,20,548,Other-LSL Replacement,,2,2,"50,000","50,000"
Part B-2,Saint Charles,1850009-01,367,15,"3,825",Other-LSL Replacement-Phase 1,,48,28,"700,000","700,000"
Part B-2	,Saint Cloud,1730027-33 1730027-34 1730027-35,188,20,"71,321",Other-LSL Replacement-2026 leaking Other-LSL Replacement-Lake George Phase 1 Other-LSL Replacement-Pan Park Phases 5 & 6,,135,"1,085",4181250,"2,725,000"
Part B-2,Saint Paul RWS,1620026-30 1620026-31,284,20,"365,136",Other-LSL Replacement-Phase 5 Other-LSL Replacement-Urgent Phase 2,,3038,"19,707","35,000,000","35,000,000"
Part B-2,Saint Peter,1520006-06,237,20,"11,784",Other-LSL Replacement,,24,24,"575,000","575,000"
Part B-2,Sauk Rapids,1050004-14,257,20,"13,559",Other-LSL Replacement-2026,,77,199,"5,515,425","1,000,000"
Part B-2,Silver Lake,1430008-09,330,15,850,Other-LSL Replacement,,2,45,"1,675,000","50,000"
Part B-2,Sleepy Eye,1080005-05,235,20,"3,599",Other-LSL Replacement,,72,39,"975,000","975,000"
Part B-2,Spicer,1340010-01,334,15,"1,225",Other-LSL Replacement,,25,25,"4,147,200","625,000"
Part B-2,Spring Grove,1280010-02,181,20,"1,291",Other-LSL Replacement,,5,5,"125,000","125,000"
Part B-2,Staples,1770011-11,33,20,"1,859",Other - LSLR 4th St NE,,6,6,"150,000","150,000"
Part B-2,Stewart,1430009-09,211,20,482,Other - LSL Replacment,,8,8,"230,000","200,000"
Part B-2,Stewartville,1550026-01,242,20,"6,850",Other-LSL Replacement,,17,17,"425,000","425,000"
Part B-2,Stillwater,1820024-04,383,15,"19,389",Other - LSL 2026 Replacement,,280,691,"3,850,000","1,725,000"
Part B-2,Storden,1170004-05,348,15,215,Other-LSL Replacement,,2,2,"150,000","50,000"
Part B-2,Tracy,1420010-05,185,20,"2,154",Other-LSL Replacement-Phase 1,,17,17,"425,000","425,000"
Part B-2,Wadena,1800004-07,58,20,"4,311",Other-LSL Replacement-NE,,79,408,"1,000,000","1,000,000"
Part B-2,Walnut Grove,1640014-03,176,20,825,Other-LSL Replacement,,4,22,"130,000","100,000"
Part B-2,Waltham,1500016-05,331,15,168,Other-LSL Replacement,,3,3,"202,000","75,000"
Part B-2,Wanamingo,1250018-05,351,15,"1,113",Other-LSL Replacement,,11,10,"250,000","250,000"
Part B-2,Waseca,1810004-06,201,20,"9,241",Other-LSL Replacement,,68,68,"1,000,000","1,000,000"
Part B-2,Wells,1220010-07 1220010-08,157,20,"2,343",Other-LSL Replacement-TH22/TH109 Other-LSL Replacement-Phase 1,,24,27,1293750,"600,000"
Part B-2,Westbrook,1170005-04,36,20,785,Other-LSL Replacement,,21,22,"825,000","525,000"
Part B-2,Winona,1850013-01 1850013-02 1850013-03,125,20,"27,782",Other-LSL Replacement-East 3rd St. Other-LSL Replacement-W Broadway Other-LSL Replacement-leaking,,73,"2,706","5,625,000","5,625,000"
Part B-2,Winsted,1430010-09,136,20,"1,912",Other-LSL Replacement,,20,50,"500,000","500,000"
Part B-2,Wrenshall,1090013-05,358,15,362,Other-LSL Replacement,,4,4,"601,000","100,000"
Part B-2,Wyoming,1130018-05,308,15,"3,990",Other - LSL Replacement,,1,1,"25,000","25,000"
Part B-2,Zumbrota,1250020-01,368,15,"3,172",Other-LSL Replacement,,68,79,"1,000,000","1,000,000"
