Rank,Points,PIF #,Entity,"Owner
Type",PWS ID,Population,Project Description,"Requested
Phase(s)",Total Project Cost,"Disadv
%","Green
Type",GPR,"Related PIF
#'s"
105,47,17567,"Texas Water Utilities, L.P.",P,TX1010028,801,"Proposed project will include addition of a backup well, and an increase in pressure storage capacity to comply with TCEQ's 85% capacity requirements. An asset management plan will also be
prepared as part of this project.",PADC,4607000,0.7,Yes-BC,4607000,
106,47,17294,Harris Co MUD # 189,D,TX1011809,8872,"The proposed project consists of the planning, design and construction of a Surface Water Transmission Line to serve Harris County MUD No. 189. The major goal of the project is to comply with the City of Houston Ground Water Supply and Groundwater Reduction Plan Wholesale Agreement for Area 3 of the Harris-Galveston Subsidence District by reducing and maintaining groundwater withdrawals to be no more than forty percent of HC
MUD 189's annual total water demand",C,6057700,0.7,,,
107,47,17631,Cameron,M,TX1660001,5489,"The City of Cameron proposes to construct a new 500,000-gallon elevated storage tank and approximately 9,500 linear feet of 12-inch water main, including system interconnections, valves, and fire hydrants, to correct a critical operational deficiency within the water distribution system. The City currently lacks adequate redundancy to remove an existing elevated storage tank from service for inspection or maintenance without risking widespread pressure loss and service interruptions. The proposed improvements will provide necessary storage redundancy, reduce water loss, improve system isolation and looping, enhance pressure stability and fire flow capability, and strengthen overall system resiliency in accordance with TCEQ design criteria. Funding is included for development of an asset managemen
plan.",PDC,11132870,,,,
108,47,17619,Malone,M,TX1090004,231,"Replace existing undersized cast iron mains that are in poor condition
throughout various locations and replace AMI meters.",PDC,499000,0.7,Yes-CE,180000,
109,47,17613,Burton,M,TX2390002,297,"New Water Plant and Main Water Line & Existing Water Plant
Rehabilitation",PADC,5470000,0.7,Yes-BC,2400000,
110,47,17429,De Berry WSC,W,TX1830006,1101,"DeBerry WSC is facing leaks due to an aging infrastructure. This
project aims to detect and monitor leaks, aiding in water distribution line replacement planning and reducing water loss",PC,480000,0.7,,,
111,47,17432,De Berry WSC,W,TX1830006,1101,"To address aging infrastructure and reduce water loss, a project is proposed to replace small-diameter water pipelines. It includes installing new pipelines, valves, and related components, covering ha a mile of replacement. This project will be outside of TWDB Water System Improvements PIF as this will focus on a specific area.",PADC,1290000,0.7,Yes-BC,1290000,
112,46,17572,"Texas Water Utilities, L.P.",P,TX1500011,81,"Proposed project will include addition of a backup well, and an increase in pressure storage capacity to comply with TCEQ's 85% capacity requirements. An asset management plan will also be
prepared as part of this project.",PADC,2840000,0.7,Yes-BC,2840000,
113,46,17576,"Texas Water Utilities, L.P.",P,TX2370042,115,"Proposed project will include addition of a backup well, and an increase in pressure storage capacity to comply with TCEQ's 85% capacity requirements. An asset management plan will also be
prepared as part of this project.",PADC,2610000,0.7,Yes-BC,2610000,
114,46,17504,"Texas Water Utilities, L.P.",P,TX1700434,135,"The applicant proposes to drill an additional well to reach firm capacity. The project will also include the development of an asset
management plan.",PADC,2853000,0.7,Yes-BC,2853000,
115,46,17568,"Texas Water Utilities, L.P.",P,TX2390021,213,"Proposed project will include addition of a backup well, and an increase in pressure storage capacity to comply with TCEQ's 85% capacity requirements. An asset management plan will also be
prepared as part of this project.",PADC,2678000,0.7,Yes-BC,2678000,
116,46,17566,"Texas Water Utilities, L.P.",P,TX1010517,315,"Proposed project will include addition of a backup well, and an increase in pressure storage and service pump capacity to comply with TCEQ's 85% capacity requirements. An asset management plan
will also be prepared as part of this project",PADC,3752000,0.7,Yes-BC,3752000,
117,46,17385,Red River Authority,D,TX0960001,360,"Project will make system improvements in the RRA Estelline Turkey
Water System including pressure tank, tank replacement and pump station upgrades.",PDC,850000,0.7,,,
118,46,17350,Spur,M,TX0630012,843,"The City of Spur's drinking water system is constrained by aging mains, limited valving, and single-source supply requiring large portions of the system being depressurized to locate and repair leaks These conditions have led to loss of life, significant water loss, Boil Water Notices, fire-flow deficiencies, and costly service disruptions despite the city's staffs' best efforts. William and Wayne Consulting LLC have identified the replacement of approx. 18,000LF of main 4"" and 6"" line with improved water lines, valves, hydrants, and potential new service meters. This would Improve the existing condition of the current system and reduce significant financial and water waste.",PDC,4999999.3,0.7,Yes-BC,5000000,
119,46,17364,Wallis,M,TX0080015,1292,"The City's Public Water Supply System is within 13 connections of its minimum capacity requirements and is poised for growth given its location to the Harris-Fort Bend County Metropolitan Area. A recent study concluded that replacement of an existing elevated storage tower, replacement of undersized distribution lines, upgrades to service pumps and the addition of distribution lines will provide the needed capacity. The replacement of undersized distribution pipes wi have a secondary benefit by reducing water loss because many of those lines are galvanized pipes which are prone to leaks and breaks Additionally, the City completed an Assistance Action with the TCEQ in January 2025 for low water pressure in their distribution system.",DC,7491000,0.7,Yes-BC,2500000,
120,46,17325,Eden,M,TX0480001,2120,"The City desires to replace aging water lines that are prone to breaking and leaking water. The project will reduce water losses and
increase system reliability",PDC,2351000,0.3,Yes-BC,2351000,
121,46,17374,Bay City,M,TX1610001,18061,"The City of Bay City is seeking funding through the DWSRF to implement critical water system improvements that will enhance reliability, reduce water loss, increase storage capacity, and modernize operational controls. The proposed project includes a waterline extension to improve system looping and fire flow, rehabilitation of aging water mains, construction of a new 750,000-gallon ground storage tank, implementation of a water loss reduction program, and modernization of the City's SCADA system. Together, these improvements will strengthen the City's drinking water distribution system, improve operational efficiency, and support current and future growth while maintaining regulatory compliance.",PDC,8400000,0.7,,,
122,46,17435,De Berry WSC,W,TX1830006,1101,"A project focus on improving the resiliency of the water supply for
DeBerry WSC by constructing a new well.",PADC,1820000,0.7,,,
123,46,17436,De Berry WSC,W,TX1830006,1101,"The project aims to increase well production, rehabilitate appurtances
associated with the wells, carry out winterization and improve the water quality of the water produced at the wells",PDC,1990000,0.7,,,
124,46,17439,De Berry WSC,W,TX1830006,1101,An additional water source will help with the supply of safe and quality water for the community now and in the future. A planning project to identify and connect to an alternate water source is proposed.,PA,390000,0.7,,,
125,46,17251,Beckville,M,TX1830002,1152,"This project includes constructing a secondary reverse osmosis treatment train, rehabilitation of the elevated storage tank, and water
main replacement of undersized and leaking water mains.",PDC,3155950,0.7,Yes-BC,60000,
126,46,17479,Hughes Springs,M,TX0340003,2760,"Replacement of old deteriorated water lines that are contributing to
water loss and frequent maintenance.",PDC,4500000,0.3,,,
127,46,17461,Hearne,M,TX1980004,4959,"Installation of a new groundwater well, a new elevated storage tank,
and chemical building including appurtenances",PDC,9910000,0.7,,,
128,46,17387,Pearsall,M,TX0820002,7325,"This project will upgrade Pearsall's water system by replacing aging waterlines, valves, and meters. It includes tie-ins to existing lines and ensures accurate measurement of customer water use. These improvements will reduce leaks and improve overall system reliability.",DC,3671478,0.7,,,
129,46,17684,Splendora,M,TX1700087,9612,"The proposed project includes replacing two existing ground storage tanks, deteriorated and undersized distribution system water mains and valves to correct deficiencies in capacity, pressure, and water loss. The proposed project includes performance of a comprehensive water conservation leak detection survey and the development of an Asset Management Plan with a Capital Improvement Plan.",PDC,9922000,0.7,,,
130,46,17485,Lago Vista,M,TX2270092,9650,"Drinking water infrastructure improvements at Water Treatment Plant (WTP) #3 and comprehensive rehabilitation of WTP #1 to protect public health, ensure regulatory compliance, and strengthen long-ter
system resiliency",DC,43100000,,,,
131,45,17282,High Valley WSC,W,TX2270126,200,"High Valley WSC has a serious problem with water loss through old
and dilapidated elements of their water distribution system",DC,3200000,0.7,Yes-BC,3200000,
132,45,17489,Rolling Hills WS,W,TX1110032,252,"Rolling Hills Water Service will be installing an AMI metering system,
and replacing portions of the distribution system",PDC,3635000,0.7,Yes-CE,3635000,
133,45,17486,Robert Lee,M,TX0410002,1025,"The proposed project will the replacement of a 250,000-gallon ground storage tank, a 30-mile raw water line to increase the City's raw wate supply, the replacement of all water meters, replacement of water lines that have a history of leaks and need for repairs, and the
development of an asset management plan.",PDC,23296000,0.7,Yes-BC,20362000,
134,45,17578,McCamey,M,TX2310001,1885,Replace current cast iron water lines,PDC,2919000,,,,
135,45,17811,South Jasper WSC,W,TX1210063,2721,"New well, elevated storage, and production facility to serve the
western area.",PDC,8060886,0.7,,,
136,45,17581,Stamford,M,TX1270003,3101,"The City of Stamford (City) aims to enhance their water distribution system by improving its existing distribution lines. The distribution line are aging and need to be replaced. Additionally, the City is addressin maintenance issues by installing additional isolation valves on the distribution line and also replacing aging hydrants for reliable fire protection. An asset management plan and water conservation plan i
included.",PDC,4862000,0.7,Yes-BC,4862000,
137,45,17828,La Grange,M,TX0750003,4452,"The project intends to replace existing distribution system lines that
are leaking and resulting in water loss",DC,13000000,0.7,Yes-BC,8045000,
138,45,17638,Yoakum,M,TX0620003,5846,"The project intends to replace existing distribution system pipes that
are leaking and resulting in water loss",PDC,7050000,0.7,Yes-BC,3500000,
139,45,17885,Huntsville,M,TX2360001,47864,"The project intends to replace existing distribution system pipes that
are leaking and resulting in water loss",DC,14395000,0.7,Yes-BC,8519000,
140,45,17344,Lake Livingston WSSSC,W,TX1870166,6011,"Water transmission lines to connect Wiggins Village #'s 1 & 2, Putnam's Landing, Lake Livingston Estates 2 & 3, Lake Livingston Estates 1, Oakridge North, and the State Park to the Pineshadows
East system to create a regional drinking water system",PADC,26983405,0.7,,,
141,45,17620,Blum,M,TX1090007,434,"The purpose of this project is to replace/upsize undersized water
mains and replace non-working isolation valves.",PDC,499000,0.7,Yes-CE,175000,
142,44,17396,Three Community WSC,W,TX1070071,1077,"The System has a history of water leaks and low pressure as a result of ""piece meal"" additions to the system over time. This is primarily due to undersized lines and old-line materials (brittle ""grey pipe"").
Additionally, the existing wells, service pumps and pressure tanks are
not able to produce sufficient water to meet the current system demands, as required by the regulatory agency, TCEQ",PADC,21054200,0.7,Yes-BC,12612000,
143,44,17428,De Berry WSC,W,TX1830006,1101,"The aging pipelines in the service area require performance evaluation for timely maintenance. This project proposes hydraulic modeling to assess pipe upsizing and replacement needs. It may include GIS mapping, flow studies, and related activities. A final repor will provide recommendations on pipeline upgrades to meet current
and future demands.",P,220000,0.7,,,
144,44,17437,De Berry WSC,W,TX1830006,1101,"A project for electrical upgrades at each well and at the plant site is
proposed. This may include emergency generators, VFDs and other necessary electrical items",PDC,820000,0.7,Yes-BC,820000,
145,44,17366,Palo Pinto WSC,W,TX1820004,347,"This project consists of replacing the City's existing elevated storage
tank and constructing a new pump station near the wholesale water purchase meter with the City of Mineral Wells",PADC,5265000,0.7,Yes-BC,2950000,
146,44,17441,Malakoff,M,TX1070002,3039,"Replace the existing water distribution system cast iron and AC water line with PVC pipe, and install new valves and service connections. Elevated Tank Rehab, WTP rehab and others misc. improvements.",PDC,14677000,0.7,,,
147,43,17518,Leary,M,TX0190093,451,"Intake Structure, Raw Water Pump Station, Raw Water Transmission
Line, Water Treatment Plant, Finish Water Line",PADC,400000,0.7,Yes-BC,26167930,
148,43,17324,Linden,M,TX0340004,1813,System Study and Water Distribution Line Replacements,PDC,6372650,0.7,,,
149,43,17564,Lilly Grove SUD,D,TX1740014,2435,"The proposed project consists of improvements to the City's drinking water system, including the water meter replacements and the replacement and/or rehabilitation of aging and deteriorated water distribution lines to reduce water loss, improve system reliability, and enhance water quality. Targeted water lines experience frequent leaks, elevated maintenance demands, and contribute to overall system inefficiencies. Existing water meters are manual read and have documented inaccuracies reported. The project includes the
development of an asset management plan",PDC,5370000,,,,
150,43,17317,Redwater,M,TX0190008,2901,"Construction of a new elevated storage tank, ground storage tank, and high service pumps to bring City into compliance with TCEQ Minimum Capacity Requirements, as well as construction of transmission and distribution piping to enhance service to hydraulicall isolated areas of the system. Also develop Hydraulic Model and Asse
Management Plan.",PADC,7056000,0.7,,,
151,43,17290,Bishop,M,TX1780002,3186,"The City of Bishop's West Bishop Pump Station currently supplies 40% groundwater and 60% purchased surface water from the South Texas Water Authority. The proposed project will rehabilitate existing Well No. 9 (currently out of service), construct a new well on City-owned property, and rehabilitate the West Bishop Pump Station.
Including storage facilities, new storage capacity, and pump replacements to meet current demands, achieve water self-sufficiency, and ensure TCEQ compliance. The project will also include the development of a Water System Asset Management Plan to support long-term infrastructure management and capital planning.",PDC,8742832,0.7,Yes-BC,2878430,
152,43,17562,Lower Valley WD,D,TX0710154,69405,"The proposed project is a comprehensive water supply and distribution improvement initiative designed to enhance system reliability, address existing water access deficiencies, and strengthen drought resilience throughout the Lower Valley Water District (LVWD) service area. Improvements to include new distribution lines along North Loop Drive, replacement of 12 miles of aging AC waterlines on Alameda, and developing a new 1,000 GPM production well to
strengthen drought-resilient supply",PDC,58763449,0.7,,,
153,43,17615,Strawn,M,TX1820005,1000,"Furnish and install a new elevated storage tank to replace the existin
standpipe.",PDC,3250000,0.7,Yes-BC,3250000,
154,43,17275,Flat Fork WSC,W,TX2100007,1091,"NEW PRODUCTION WELL, TRANSMISSION LINE &
DISTRIBUTION IMPROVEMENTS",PADC,3402059.76,0.7,Yes-BC,1329286,
155,43,17617,Zavala Co WCID # 1,D,TX2540003,1294,"Meeting TCEQ Emergency Power Plan requirements by proposing Two (2) Emergency Generators (250KW and 100KW) for the Water
Treatment Plant and the Automated Meter Power Supply System",PDC,442750,0.7,,,
156,43,17507,Millsap WSC,W,TX1840007,1477,"Millsap WSC proposes to replace the existing ground storage tank at Pump Station No. 1 with a new elevated storage tank and upsize an existing waterline along Young Road to improve and maintain
adequate pressures throughout the distribution system",PDC,3765000,0.7,Yes-BC,3765000,
157,43,17420,Archer City,M,TX0050001,1601,"Replace deteriorated cast iron water distribution lines to reduce water loss and upgrade metering system to AMI system for increased accuracy in leak detection, water conservation and usage efficiency.",PDC,3980000,0.7,,,
158,43,17671,Seymour,M,TX0120001,2576,"Improvements to the City's existing water wells to meet TCEQ regulations and increase accessibility to groundwater in drought
conditions.",PDC,1030000,0.7,,,
159,43,17802,Richland SUD,D,TX1540008,2802,Adding and replacing lines in all areas of the Richland SUD system,PDC,19308000,0.7,Yes-BC,15072640,
160,43,17565,M & M WSC,W,TX0030026,3204,"Waterline replacements, storage tank rehabilitation, and new
generators",PDC,5547600,0.3,,,
161,43,17625,Presidio,M,TX1890002,3430,"Addressing deficiencies in water quality, capacity, pressure, and
water loss by upgrading or replacing the system and consolidating services to connect unserved residents",DC,6050000,0.7,,,
162,43,17630,Redland WSC,W,TX0030028,3637,Water Distribution and Plant Upgrades,PDC,3924000,0.7,,,
163,43,17806,South Newton WSC,W,TX1760022,3729,"Update and Rehabilitate the District's three(3) ground water treatmen
plants.",PDC,12134805,0.7,,,
164,43,17259,Colorado City,M,TX1680001,3973,City has need for replacement of existing distribution lines,PDC,7275000,0.7,Yes-BC,,
165,43,17496,Jacksboro,M,TX1190002,4397,"The City of Jacksboro has aging and undersized portions of its water distribution system. Jacksboro proposes pumping facility
improvements, water line replacement, and EST rehabilitation.",PDC,8040000,0.3,,,
166,43,17589,Mineola,M,TX2500002,4823,"Water system improvements aimed at improving the infrastructure of
aging and failing lines throughout the system",PDC,4997500,0.7,,,
167,43,17563,Bellmead,M,TX1550001,10494,"The City is in need of additional water supply for both redundancy an to support growth. The City proposes a new Groundwater Supply Well coupled with the necessary treatment, storage and supply
infrastructure.",PADC,13812500,0.7,,,
168,43,17381,Port Arthur,M,TX1230009,55779,"Replace existing 1,750 LF of existing 36"" water transmission main",C,3990286,0.7,,,
169,43,17382,Port Arthur,M,TX1230009,55779,"Replacement of 34,690 LF of existing 2"" water lines",PDC,15039077,0.3,,,
170,43,17383,Port Arthur,M,TX1230009,55779,"Replacement of approximately 5,300 LF of existing 12"" water lines.",PDC,5746525,0.7,,,
171,43,17384,Port Arthur,M,TX1230009,55779,"Replacement of approximately 7,850 LF of an existing 10"" waterline.",PDC,5954188,0.7,,,
172,43,17270,Eagle Pass Water Works System,M,TX1620001,58692,"Water treatment plant and distribution system improvements to rehabilitate existing aging infrastructure, and meet capacity and
operational needs",PDC,350419954,0.7,,,
173,42,17825,Lake Livingston WSSSC,W,TX1870045,372,"LLWSC proposes to construct up to three groundwater production
wells to expand capacity by approximately 1 MGD",PADC,6553760,,,,
174,42,17438,Cumby,M,TX1120001,777,"Project includes drilling a new water supply well, installation of a pum station, disinfection, installation of a ground storage tank, and
transmission line",PADC,7460000,0.7,,,
175,41,17440,Lott,M,TX0730001,644,"Make improvements to the City's water system including a new well, replacing old, failing distribution lines, and rehabilitating existing
storage facilities.",PADC,14130000,0.7,,,
176,41,17283,Johnson City,M,TX0160001,1952,"The City has a serious water loss problem because of leaking and deficient water pipes. This project will endeavor to repair and/or
replace these leaking pipes",DC,8000000,0.7,Yes-BC,8000000,
177,41,17515,"Texas Water Utilities, L.P.",P,TX2040067,2544,"Proposed project will include addition of a backup well, and an increase in ground and pressure storage and service pump capacity to comply with TCEQ's 85% capacity requirements. An asset
management plan will also be prepared as part of this project",PADC,7402000,0.7,Yes-BC,7402000,
178,41,17464,Pineland,M,TX2020002,817,Construction of a pump station and storage facilities at the Well 3 site to provide redundant system pressure maintenance during times when the existing elevated storage tank is taken offline for repair and maintenance. Proposed facility will also support pressure maintenance in the northern part of the City during normal operations,PDC,2080500,0.5,,,
179,41,17812,Pinehurst,M,TX1810009,2235,"The City of Pinehurst proposes to construct a new water plant to
improve the City existing water system",PDC,9845450,0.7,,,
180,41,17310,Breckenridge,M,TX2150001,5170,"The City desires to replace clarifier components to repair the mechanism that recently failed due to sludge accumulation at the bottom. Improvements include the demolition of the existing equipment and replacement with a new scraper mechanism and
electrical equipment",PDC,3806000,0.7,,,
181,40,17658,Rochester,M,TX1040002,248,"This project includes a new 0.02 MG GST, an AMR meter system,
and the replacement of aged water lines",PDC,695500,0.7,Yes-BC,115000,
182,40,17301,Kosse,M,TX1470003,461,Rehab EST and add auto-read meters to distribution system.,PDC,3674000,0.7,,,
183,40,17263,Cumby,M,TX1120001,777,"Project includes replacement of distribution lines and a transmission
line, and a new elevated storage tank",PADC,9788000,0.7,,,
184,40,17422,Kellyville-Berea WSC,W,TX1580003,985,Water System Improvements.,PDC,8360930,0.7,,,
185,40,17609,Petersburg,M,TX0950003,1205,"The project includes installation of approximately 9,800 LF of 6-inch and 890 LF of 8-inch waterline, fire hydrants, valving, and all associated appurtenances along Avenue H and Main Street. In addition, the project will also implement system wide SCADA
improvements.",PDC,5000000,0.7,Yes-BC,250000,
186,40,17598,Nash,M,TX0190006,3818,"Intake Structure, Raw Water Pump Station, Raw Water Transmission
Line, Water Treatment Plant, Finish Water Line",PADC,1000000,0.7,Yes-BC,26167930,
187,40,17632,Redwater,M,TX0190008,4356,"Intake Structure, Raw Water Pump Station, Raw Water Transmission
Line, Water Treatment Plant, Finish Water Line",PADC,400000,0.7,Yes-BC,26167930,
188,40,17649,Cotulla,M,TX1420001,5640,"New water well 10, treatment, ground storage tank and pipeline to connect into the existing system. New storage tank for Well 9 with pipeline to connect to the well and pipeline to connect to existing
system. Feasibility study/conceptual design for a new WTP",PADC,25190000,0.7,,,
189,40,17855,Military Highway WSC,W,TX1080234,6740,"Construct a new 2,000 gpm San Pedro pump station and 1.5 MG ground storage tank to serve a new San Pedro pressure zone and improve system pressures in the San Pedro area. Construct a new
0.25 MG San Pedro elevated storage tank and decommission the existing 0.10 MG elevated storage tank to meet TCEQ minimum elevated storage requirements for the new San Pedro pressure zone. Construct a new 0.25 MG Rangerville elevated storage tank and decommission the existing 0.10 MG elevated storage tank to meet TCEQ minimum elevated storage requirements in the Las Rusias pressure zone. Drill and equip two new municipal water supply wells to increase available water supply and improve system reliability.",PDC,44995000,0.7,,,
190,40,17297,Hillsboro,M,TX1090001,8867,Hillsboro Watermain Improvements,PDC,45500725,0.7,,,
191,40,17583,Sweetwater,M,TX1770002,10622,"The City of Sweetwater (City) desires to enhance the reliability of its water system by expanding the City's groundwater well field and increasing the total ground storage. An asset management plan will
be developed as part of this project.",PADC,16160000,0.7,Yes-BC,1213000,
192,39,17514,"Texas Water Utilities, L.P.",P,TX2500058,1878,"Proposed project will include addition of backup wells, and an increase in pressure storage and service pump capacity to comply with TCEQ's 85% capacity requirements. An asset management plan
will also be prepared as part of this project",PADC,7969000,0.7,Yes-BC,7969000,
193,39,17322,Eastland,M,TX0670002,3609,"The proposed project will include the installation of a new water transmission line to replace leaking infrastructure, thereby reducing water loss and improving system efficiency. An asset management
plan is also included",PDC,5882000,0.7,Yes-BC,5882000,
194,39,17305,Ballinger,M,TX2000001,3862,"The City of Ballinger has proposed several water treatment plant (WTP) improvements along with storage upgrades and replacement of distribution and transmission lines in various locations of the
distribution system and an asset management plan",PDC,30844000,,Yes-BC,25541980,
195,39,17639,Marble Falls,M,TX0270026,8059,"The City of Marble Falls proposes to replace deteriorated asbestos cement (AC) water mains and upgrade undersized 2-inch residential waterlines to 6-inch and 8-inch PVC to address pressure deficiencies improve fire flow capacity, reduce water loss, and enhance system reliability. Improvements include waterline replacements on Sunset Drive, along Pecan Valley Drive, and along Avenue J; installation of new valves and associated appurtenances; service reconnections; and proper abandonment of existing AC mains. The project will reduce water loss, eliminate hydraulic restrictions, and improve the reliability and resiliency of potable water service to an eligible
disadvantaged community",PDC,7510000,0.7,,,
196,39,17776,Lakeway MUD,D,TX2270012,22500,"Lakeway MUD will need to expand their water treatment plant from
7.3 to 14 mgd at their existing site, an unplanned capital improvemen expenditure, in order to meet the urgent water needs of Travis Count MUDs #11-13 and West Travis County PUA; Lakeway MUD will provide wholesale potable water service to these new water customers.",C,18000000,,,,
197,39,17380,Pharr,M,TX1080009,79715,"The City of Pharr is seeking funding through the DWSRF to enhance and improve the overall performance, redundancy, and resilience of its water system. Proposed projects include a new groundwater source to supplement existing surface water supply. Additionally, the City intends to upgrade its water meter system to smart meters.",PDC,21700000,0.7,,,
198,38,17339,Anson,M,TX1270001,1765,Construction of a new 2.0 MGD Membrane Water Treatment Plant and replacement of water lines and valves within distribution system.,PADC,11165000,0.7,,,
199,37,17585,Meadow,M,TX2230002,623,"The City of Meadow is under regulatory enforcement due to arsenic Maximum Contaminant Level (MCL) exceedances in their groundwater supply. To achieve compliance, the City proposes to install a reverse osmosis (RO) water treatment system to remove arsenic, resolve compliance issues, and provide a long term treatment solution. The project will also include construction of an
evaporation pond to manage disposal of treatment waste streams",PDC,6750000,0.7,,,
200,37,17516,"Texas Water Utilities, L.P.",P,TX1580063,267,"The Indian Hills Harbor Water System proposes drilling a new raw water production well to meet firm capacity requirements and address the noncompliance issues at the water treatment facility. The project
will include an asset management plan",PADC,6891000,0.7,Yes-BC,6891000,
201,37,17433,De Berry WSC,W,TX1830006,1101,"The project proposed is to improve the water measurement and reduce loss by replacing meters, meter boxes, and related components with AMR/AMI technology. The number of replacements will depend on available funding, and an asset management plan will
be developed.",PDC,1255000,0.7,Yes-CE,1255000,
202,37,17410,Coleman,M,TX0420001,3942,"Supply line replacement, galvanized service line replacements, water meter replacements, rehabilitation of existing elevated tanks, installation of aeration at main water source, disinfection
improvements, and preparation of an asset management plan",PDC,34803400,0.7,Yes-BC,1124150,
203,36,17363,O'Donnell,M,TX1530001,704,"Improvements to the distribution system including line replacement,
ground storage improvements, and additional water production.",PDC,17846000,,Yes-BC,17846000,
204,36,17492,"Texas Water Utilities, L.P.",P,TX1010096,978,"Proposed project will include an increase in pressure storage and service pump capacity to comply with TCEQ's 85% capacity requirements. An asset management plan will also be prepared as
part of this project.",PDC,2202000,0.7,Yes-BC,2202000,
205,36,17455,Farwell,M,TX1850002,1359,"The project includes project planning and asset management, ground storage tank, and the development of a new wellfield for the City of Farwell. The project will include water rights acquisition and the desig
and construction of associated water transmission lines.",PADC,15000000,0.7,,,
206,36,17284,Hutchins,M,TX0570012,5804,"This is a Water Loss Mitigation Project. The rehabilitation of leaking pipes and modernization improvements identified with this project are imperative to address the overwhelming water system challenges faced by the City of Hutchins, a disadvantaged community just south
of downtown Dallas",DC,14900000,0.3,Yes-BC,14900000,
207,36,17323,Eastland Co WSD,D,TX0670019,16284,"Re-clear the pipeline ROW and replace the existing raw water transmission pipeline with a new fusion-welded, high-density polyethylene (HDPE) pipeline. Additionally, the treated water supply line from the WTP to the City of Eastland will be replaced with a new HDPE pipeline. The project will also include the development of an
asset management plan.",PDC,26986000,0.7,,7216000,
208,36,17375,Mercedes,M,TX1080007,16449,"The City of Mercedes is seeking funds from the DWSRF to replace
their malfunctioning residential water meters city-wide",PDC,2746897.2,0.7,Yes-CE,2055922,
209,36,17238,Kendleton,M,TX0790018,1000,"Rehabilitation of Water System including Treatment, Storage,
Transmission and Distribution Improvement",PADC,15000000,0.7,Yes-BC,3000000,
210,35,17457,"Texas Water Utilities, L.P.",P,TX2080003,441,"The applicant proposes to incorporate a new automatic meter reading system (AMR) and a new SCADA system into the existing Hermleigh WTP to improve metering accuracy and better manage plant processes. The project will also include the development of an asset management plan to address maintenance, increase productivity, and
eliminate unnecessary wastes",PADC,7477000,0.7,Yes-CE,7477000,
211,35,17506,Slaton,M,TX1520004,5858,"The City of Slaton is proposing the installation of a new ground storage tank, new groundwater wells with rehabilitation of existing wells, existing pump station rehabilitation, and the installation of
approximately 14,000 LF of new PVC water lines",PDC,9822000,0.3,Yes-BC,4311560,
212,35,17356,MacKenzie MWA,D,TX0230004,9290,"The Mackenzie Municipal Water Authority (MMWA) proposes targeted infrastructure improvements to increase energy efficiency through green infrastructure, operational reliability, and system resiliency at its water treatment plant and pump stations. The project includes installation of interior LED lighting and exterior solar lighting, a solar bank at the water plant, new raw water, effluent, and backwash flow meters, permanent backup generators at the water treatment plant and pump stations, generator docking stations, a portable generator, and an effluent reuse system for plant irrigation. These improvements will enhance system monitoring, reduce energy consumption, improve emergency preparedness during power outages, and promote water conservation through beneficial reuse.",PDC,3600000,0.7,Yes-BC,610000,
213,35,17286,Anthony,M,TX0710001,3811,"The Town of Anthony needs to construct a 250,000 gallon elevated water tank to replace an existing 72 year old 125,000 gallon standpipe. The standpipe is in deteriorated condition, does not provide minimum storage and pressure requirements as required by the state, and does not comply with current AWWA and OSHA safety standards. Other improvements include chlorination system, pump upgrades, new pump station, electrical and controls, and emergency standby power. Town has past occasional issues with arsenic in the
water supply, but is currently in compliance.",DC,4318724.3,0.7,,,
214,34,17561,Lexington,M,TX1440002,1365,Smart Metering System and Prepare Asset Management Plan,PDC,1900000,0.7,Yes-CE,1900000,
215,34,17271,El Jardin WSC,W,TX0310022,12900,"Water meter replacements for the entirety of El Jardin's service area
from analog meters to ultrasonic meters.",DC,2097958.5,0.3,Yes-CE,1598445,
216,34,17454,Tom Green Co FWSD # 2,D,TX2260004,490,"Replace filter media and under-drain, repair clear well, install master
meters and leak detection",PDC,500000,0.7,,,
217,34,17269,Dublin,M,TX0720001,4000,"The proposed project includes replacing water meters with radio read meters, replacing cast iron water lines under railroad rights of way with cased plastic lines, installing aeration in the City elevated tank
and replacing/installing isolation gates valves",PDC,1645000,0.7,Yes-BC,1645000,
218,34,17312,Brownwood,M,TX0250002,18862,"The City of Brownwood (City) aims to enhance the water distribution system by improving the existing elevated storage tanks (ESTs) and a high service Pump Station (PS). The ESTs are aging and need to be internally and externally repainted to preserve the useful service life. The Existing PS only has 2 of 3 total pump installed and is lookin to install a third pump to increase the total operating capacity. The City is addressing water age issues by installing a control valve downstream of the Brown County Water Improvements District take point. The City also wants to include distribution line improvements as well as the rehabilitation of an existing pump station building and adding a new pump station building. An asset management plan will
also be developed.",PDC,7299000,0.7,,,
219,34,17628,Corsicana,M,TX1750002,68459,"Replacement of failing section of existing 30-inch Transmission Line from the Navarro Mills Water Treatment Plant to a 36-inch Line in order to reduce water loss, decrease repairs and maintenance cost
on existing line and upsize line to accommodate flow of the WTP.",PADC,16954000,0.7,,,
220,33,17277,Fort Griffin SUD,D,TX2090005,350,"The project includes extending water service to areas on the north
side of Lake Cisco that do not currently have service as well as providing an emergency interconnect with the City of Cisco",PADC,3717000,0.7,,,
221,33,17418,Crawford,M,TX1550011,887,Crawford AMI Water Meter Replacement,PDC,1973883,0.7,,,
