Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME,"FederalEquivalency"
"SPOONER, CITY OF",4911-12,BIL SFY27 LSL Replacement Program,"$160,000",NO,ANDRUD,Yes
SUPERIOR WATER LIGHT & PWR,5660-04,BIL SFY27 LSL Replacement Program,"$7,090,000",NO,ANDRUD,Yes
"THORP, CITY OF",4922-23,BIL SFY27 LSL Replacement Program,"$733,150",WC,JAROMAHB,Yes
"TWO RIVERS, CITY OF",4920-63,BIL SFY27 LSL Replacement Program- CT,"$2,175,000",NE,HANNER,Yes
"TWO RIVERS, CITY OF",4920-62,BIL SFY27 LSL Replacement Program- Municipal,"$2,175,000",NE,HANNER,Yes
"WALWORTH, VILLAGE OF",5652-09,BIL SFY27 LSL Replacement Program,"$1,450,000",SE,BINDEB,Yes
"WAUPACA, CITY OF",4929-11,BIL SFY27 LSL Replacement Program,"$7,500,000",NE,HANNER,Yes
"WAUSAU, CITY OF",4930-27,BIL SFY27 LSL Replacement Program,"$18,750,000",WC,JAROMAHB,Yes
"WEST ALLIS, CITY OF",5404-17,BIL SFY27 LSL Replacement Program,"$5,200,000",SE,BINDEB,Yes
"WISCONSIN RAPIDS, CITY OF",5510-05,BIL SFY27 LSL Replacement Program,"$240,000",WC,JAROMAHB,Yes
