Rank,Points,Project Title,Project Number,Benefited Population,Problem Description,Project Description,Applicant Name,County,Leg District,Cong District,W/S,PFA,Public/Private,System Size,Disadvantaged,Special Flag,Start Date,End Date,Total Cost ($),Green Cost ($),CD Code,Audit,Plan,Green Type,Design Date,Project Type,Compliance,PWSID,PFAS/EC,LSL,Total Cost ($),MDE Requested Funding ($)
21,85,TWIN ARCH PARK LLC-PFAS,DW0038,20,PFAS IN DRINKING WATER,"INSTALL IX RESIN PFAS TREATMENT, BUILD NEW WATER PLANT BLDG & INSTALL WATER METERS ON HOMES TO REDUCE WATER CONSUMPTION","DANIEL SHIELDS, TWIN ARCH PARK LLC",Carroll,05,3,Y,Y,PRIVATE,Small,0,PFAS/EC,08/01/2023,08/31/2024,"$249,500",$0,1,,,,02/01/2023,TREATMENT,,MD0060218,Y,,"249,500","249,500"
22,85,PARKWOOD WATER MAIN REPLACEMENT PHASE I,DW0064,900,"80+ YEAR OLD CAST IRON MAINS, TUBERCULATION IN SMALL DIA 8-IN & 10-IN MAINS",CONSTRUCT APPROX 3.09 MI OF SMALL DIA WATER MAINS AND HOUSE CONNECTIONS,"CAVILLE STANBURY-WOOLERY, WASHINGTON SUBURBAN SANITARY COMMISSION",Montgomery,18,8,Y,Y,PUBLIC,Large,0,,11/01/2024,08/31/2026,"$11,098,000",$0,1,Y,Y,,11/01/2021,TRANSMISSION/DISTRIBUTION,,MD0150005,,,"11,098,000","11,098,000"
23,85,WHITAKER WOODS WATER DISTRIBUTION SYSTEM,DW0045,1400,PRIVATE WELLS ARE RUNNING DRY,EXTEND ARTESIAN WATER MD DRINKING WATER TO WHITAKER WOODS COMMUNITY,"ADAM GOULD, ARTESIAN WATER MARYLAND INC.",Cecil,35B,1,Y,Y,PRIVATE,Small,1,,05/01/2024,12/31/2024,"$2,218,000",$0,1,,,,01/01/2024,TRANSMISSION/DISTRIBUTION,,MD0070034,,,"2,218,000","2,218,000"
24,85,MOUNTAIN LAKE PARK & LOCH LYNN HEIGHTS WATERLINE REPLACEMENT PROJECT,DW0058,3275,100+ YEAR OLD SYSTEM ADDED TO OVER TIME WITH NO STANDARDIZATION. SMALL DIAMETER PIPES. FREQUENT LEAKS.,"REPLACE APPROX 133,075 LF OF WATER MAINS IN 5 PHASES","BOBBY WITT, GARRETT COUNTY SANITARY DISTRICT INC.",Garrett,01A,6,Y,Y,PUBLIC,Small,1,,08/01/2023,09/30/2028,"$38,134,500",$0,1,Y,Y,,07/01/2022,TRANSMISSION/DISTRIBUTION,,MD0110007,,,"38,134,549","38,119,549"
25,85,ROUTE 346 WATER SUPPLY AND TREATMENT PROJECT,DW0111,5025,FRANKLIN AVE WELL INSTALLED IN 1948 HAS LOW YIELD,NEW WATER SUPPLY WELL AND TREATMENT SYSTEM AT EXISTING ELEV STORAGE TANK PROPERTY,"MARY BOHLEN, TOWN OF BERLIN",Worcester,38C,1,Y,Y,PUBLIC,Small,1,,11/01/2024,05/31/2025,"$867,600",$0,1,Y,Y,,09/01/2023,SOURCE,,MD0230001,,,"867,640","867,640"
26,85,THURMONT HUNTING CREEK FACILITY & WELL 7/8 FACILITY - GAC FILTERS FOR PFAS,DW0054,7700,HUNTING CREEK AND WELL 7&8 FACILITY BOTH NEED GAC TREATMENT,DESIGN & CONSTRUCT GRANULAR ACTIVATED CARBON (GAC) FILTRATION SYSTEMS AT BOTH FACILITIES,"HAROLD LAWSON, TOWN OF THURMONT",Frederick,02A,6,Y,Y,PUBLIC,Small,0,PFAS/EC,05/01/2024,06/30/2024,"$2,380,800",$0,1,Y,,,07/01/2023,TREATMENT,,MD0100023,Y,,"2,380,850","2,280,850"
27,80,827 MAYO ROAD LP,DW0007,35,PFAS CONTAMINATION IN DRINKING WATER,DRILL NEW WELL OR EXTEND DEPTH OF CURRENT WELL,"JACK HENLEY, 827 MAYO ROAD LP",Anne Arundel,30A,3,Y,Y,PRIVATE,Small,0,PFAS/EC,06/01/2024,12/31/2024,"$45,000",$0,1,,,,01/01/2023,SOURCE,,MD1021462,Y,,"45,000","45,000"
28,80,CITY OF TANEYTOWN PFAS FUNDING,DW0032,10000,HIGH PFAS IN WELL WATER. WELL #11 SHUT DOWN DUE TO PFAS. WELL #12 ALSO CONTAMINATED.,PFAS REMEDIATION,"RANDY MYERS, CITY OF TANEYTOWN",Carroll,05,2,Y,Y,PUBLIC,Small,0,PFAS/EC,,,"$2,275,000",$0,1,Y,Y,,,SOURCE,,MD0060012,Y,,"2,275,000","2,275,000"
29,80,WATER MAIN REHAB AND IMPROVEMENT - ROCKVILLE,DW0068,65700,OBSERVED AND MEASURED RESTRICTIONS IN FLOW RATES AND WATER MAIN BREAKS,"PLAN, DESIGN, CONSTRUCT APPROX 21,000 LF WATER MAINS AT 16 SEPARATE LOCATIONS","MATTHEW BREW, CITY OF ROCKVILLE",Montgomery,17,8,Y,Y,PUBLIC,Large,0,,03/01/2024,10/31/2024,"$7,950,000",$0,1,Y,Y,,05/01/2022,TRANSMISSION/DISTRIBUTION,,MD0150003,,,"7,950,000","7,950,000"
30,75,EASTON UTILITIES WELL NO. 14,DW0084,20000,LACK OF SYSTEM REDUNDANCY AND RESERVE CAPACITY,CONSTRUCT NEW PRODUCTION WELL,"DOUG ABBOTT, EASTON UTILITIES",Talbot,37B,1,Y,Y,PUBLIC,Large,1,,06/01/2024,06/30/2026,"$2,490,000","$2,445,000",1,Y,Y,E,10/01/2022,SOURCE,,,,,"2,490,000","2,445,000"
