Rank,Points,Project Title,Project Number,Benefited Population,Problem Description,Project Description,Applicant Name,County,Leg District,Cong District,W/S,PFA,Public/Private,System Size,Disadvantaged,Special Flag,Start Date,End Date,Total Cost ($),Green Cost ($),CD Code,Audit,Plan,Green Type,Design Date,Project Type,Compliance,PWSID,PFAS/EC,LSL,Total Cost ($),MDE Requested Funding ($)
90,40,BRUNSWICK WATER TREATMENT PLANT UPGRADES - CLEAR WELL,DW0125,11268,EXISTING CLEAR WELL IS IN LOWER LEVEL OF WTP BUILDING AND NEAR END OF USEFUL LIFE,CONSTRUCT NEW CLEAR WELL TO THE WEST OF THE WTP,"ABIGAIL INGRAM, CITY OF BRUNSWICK",Frederick,04,6,Y,Y,PUBLIC,Small,1,,05/01/2024,09/30/2024,"$740,000",$0,1,,,,11/01/2023,STORAGE,,MD0100005,,,"740,000","740,000"
91,40,SERVICE LINE INVENTORY DESIGN-CITY OF ABERDEEN,DW0061,19200,DEVELOP INITIAL INVENTORY OF LEAD SERVICES LINES UNDER LCRR,RESEARCH HISTORICAL RECORDS TO DEVELOP LEAD SERVICE LINE INVENTORY,"COSTA MAISTROS, CITY OF ABERDEEN",Harford,34A,1,Y,2,PUBLIC,Large,0,LSL,01/01/2023,07/01/2024,"$150,000",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MD0120001,,Y,"150,000","150,000"
92,40,BALTIMORE COUNTY LEAD SERVICE LINE INVENTORY PROGRAM-DISADVANTAGED COMM,DW0025,257083,RECORDS REVIEW INDICATES APPROX 90% OF WATER DISTRIB LINES INSTALLED PRIOR TO 03/30/1989,DEVELOP LEAD SERVICE LINE INVENTORY TO COMPLY WITH LCRR WITHIN DISADVANTAGED COMMUNITIES BOUNDARIES,"ERIN MCKENNA-STREYLE, BALTIMORE COUNTY",Baltimore County,44B,2,Y,2,PUBLIC,Large,1,LSL,12/01/2022,04/30/2025,"$6,509,000",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MD0300002,,Y,"6,509,000","6,509,000"
93,40,BALTIMORE COUNTY LEAD SERVICE LINE INVENTORY PROGRAM,DW0024,504188,RECORDS REVIEW INDICATES APPROX 73% OF WATER DISTRIB LINES INSTALLED PRIOR TO 03/30/1989,DEVELOP LEAD SERVICE LINE INVENTORY TO COMPLY WITH LCRR,"ERIN MCKENNA-STREYLE, BALTIMORE COUNTY",Baltimore County,42B,3,Y,2,PUBLIC,Large,0,LSL,12/01/2022,04/30/2025,"$30,419,000",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MD0300002,,Y,"30,419,000","30,419,000"
94,35,TOWN OF PRESTON LEAD SERVICE LINE INVENTORY,DW0027,400,DEFINE AND EXECUTE A PLAN TO COMPLY WITH LCRR,INVENTORY OF LEAD SERVICE LINES,"AMBER KORELL, TOWN OF PRESTON",Caroline,37b,1,Y,Y,PUBLIC,Small,0,LSL,03/01/2023,10/31/2024,"$30,000",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MD0050005,,Y,"30,000","30,000"
95,35,SHARPTOWN LEAD SERVICE LINE INVENTORY,DW0105,625,COMPLETE INVENTORY TO COMPLY WITH EPA LCRR,CATALOG ALL WATER SERVICES WITHIN THE WATER DISTRIBUTION SYSTEM,"P. DOUGLAS GOSNELL, COMMISSIONERS OF SHARPTOWN",Wicomico,37B,1,Y,Y,PUBLIC,Small,0,LSL,03/01/2023,10/31/2024,"$60,000",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MD0220005,,Y,"60,000","60,000"
96,35,ROCK HALL LEAD SERVICE LINE INVENTORY,DW0063,1050,NO COMPREHENSIVE MAP SHOWING LEAD SERVICE LINES,CONTRACT TO DEVELOP AND MAINTAIN SERVICE LINE INVENTORIES TO COMPLY WITH EPA LCRR,"ROBERT RESELE, TOWN OF ROCK HALL",Kent,36,1,Y,2,PUBLIC,Small,1,LSL,08/01/2023,10/31/2024,"$545,000",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,,,Y,"545,000","545,000"
97,35,CLEAR SPRING LEAD SERVICE INVENTORY,DW0086,1100,NO SERVICE LINE INVENTORY TO COMPLY WITH EPA LCRR,HIRE OUTSOURCED COMPANY TO DEVELOP & MAINTAIN SERVICE LINE INVENTORY,"JUANITA K. GRIMM, TOWN OF CLEAR SPRING",Washington,01C,6,Y,2,PUBLIC,Small,1,LSL,10/01/2023,10/31/2024,"$98,700",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MD0210005,,Y,"98,712","98,712"
98,35,TOWN OF HEBRON WATER STORAGE - WATER MAIN,DW0101,1200,SYSTEM LACKS REDUNDANCY; NEW INFRASTRUCTURE NEEDED TO MEET WATER SYSTEM STANDARD OF OPERATION,NEW WATER MAIN TO CONNECT NEW TOWER TO EXISTING WATER SYSTEM,"ROBERT D. RAUCH, COMMISSIONERS OF HEBRON",Wicomico,37A,1,N,Y,PUBLIC,Small,1,,10/01/2023,04/30/2024,"$260,900",$0,1,,,,10/01/2022,TRANSMISSION/DISTRIBUTION,,MD0220002,,,"260,944","260,944"
99,35,PITTSVILLE LEAD SERVICE LINE INVENTORY,DW0100,1500,COMPREHENSIVE INVENTORY OF SERVICES COMPLIANT WITH EPA LCRR,COMPLETE LEAD SERVICE LINE INVENTORY,"JOSEPH MANGINI, TOWN OF PITTSVILLE",Wicomico,38C,1,Y,Y,PUBLIC,Small,0,LSL,03/01/2023,10/31/2024,"$100,000",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MD0220009,,Y,"100,000","100,000"
100,35,TOWN OF CENTREVILLE LEAD & COPPER LINE INVENTORY,DW0077,2125,SOME MAINS AND SERVICES INSTALLED PRIOR TO 1913,PREPARE LEAD SERVICE LINE INVENTORY TO COMPLY WITH LCRR,"CLIFFORD MATTHEWS, CENTREVILLE TOWN COUNCIL",Queen Anne's,36,1,Y,Y,PUBLIC,Small,0,LSL,02/01/2023,10/31/2024,"$52,000",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MD0170001,,Y,"52,074","52,074"
101,35,HURLOCK LEAD SERVICE LINE INVENTORY,DW0048,2150,CATALOG ALL WATER SERVICE IN HURLOCK TO COMPLY WITH EPA LCRR,PREPARE LEAD SERVICE LINE INVENTORY FOR TOWN OF HURLOCK,"JOHN AVERY, TOWN OF HURLOCK",Dorchester,37A,1,Y,2,PUBLIC,Small,1,LSL,03/01/2023,12/31/2024,"$93,200",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MD0090005,,Y,"93,250","93,250"
102,35,SNOW HILL LEAD SERVICE LINE INVENTORY,DW0112,2410,NO EXISTING CATALOG OF EXISTING WATER SERVICES TO MEET EPA LCRR,CATALOG OF ALL WATER SERVICES WITHIN SYSTEM,"RICK POLLITT, TOWN OF SNOW HILL",Worcester,38A,1,Y,2,PUBLIC,Small,1,LSL,03/01/2023,10/31/2024,"$258,400",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MD0230007,,Y,"258,484","258,484"
103,35,TOWN OF SMITHSBURG WATER STREET WATER PROJECT,DW0093,3250,AGING WATER INFRASTRUCTURE,REPLACE APPROX 1 MI WATER LINE E WATER ST FROM SMITHSBURG CAR WASH TO MD 64,"BRIAN BRANDT, TOWN OF SMITHSBURG",Washington,02A,6,Y,Y,PUBLIC,Small,0,,09/01/2024,09/30/2025,"$1,342,000",$0,1,,,,07/01/2023,TRANSMISSION/DISTRIBUTION,,MD0210018,,,"1,342,000","842,000"
104,35,CRISFIELD LEAD SERVICE LINE INVENTORY,DW0079,3928,AT LEAST 75% OF HOUSING IN CRISFIELD BUILT BEFORE 1986,PREPARE LEAD SERVICE LINE INVENTORY THROUGH USE OF OUTSIDE CONTRACTOR,"JENNIFER MERRITT, CITY OF CRISFIELD",Somerset,38A,1,Y,2,PUBLIC,Small,1,LSL,10/01/2023,10/31/2024,"$80,000",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MD0190001,,Y,"80,000","80,000"
105,35,LEAD SERVICE LINE INVENTORY FOR GARRETT COUNTY,DW0057,5043,NO COMPREHENSIVE INVENTORY OF GARRETT COUNTY LEAD SERVICE LINES,SURVEY AND UPDATE COMPREHENSIVE INVENTORY OF LEAD SERVICE LINES IN GARRETT COUNTY,"DALE BAKER, GARRETT COUNTY SANITARY DISTRICT INC.",Garrett,01A,6,Y,2,PUBLIC,Small,1,LSL,01/01/2023,10/31/2024,"$154,500",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MDREG,,Y,"154,550","77,275"
106,35,CITY OF POCOMOKE SERVICE LINE INVENTORIES AND LEAD SERVICE LINE REPLACEMENTS,DW0108,6900,NO COMPLETE INVENTORY OF LEAD SERVICE LINES IN THE CITY,TO INVENTORY LEAD SERVICE LINES FOR COMPLIANCE WITH EPA LCRR,"JEREMY MASON, CITY OF POCOMOKE",Worcester,38,1,Y,2,PUBLIC,Small,1,LSL,02/01/2023,10/31/2024,"$25,000",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MD0230006,,Y,"25,000","25,000"
107,35,SOMERSET COUNTY SANITARY DISTRICT LEAD SERVICE LINE INVENTORY,DW0082,7500,NO COMPREHENSIVE INVENTORY OF WATER SERVICES,COMPLETE LEAD SERVICE INVENTORY FOR SOMERSET COUNTY SANITARY DISTRICT TO COMPLY WITH EPA LCRR,"ANTHONY STOCKUS, SOMERSET COUNTY SANITARY DISTRICT",Somerset,38A,1,Y,2,PUBLIC,Small,1,LSL,03/01/2023,12/31/2024,"$826,600",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MD0190002,,Y,"826,660","826,660"
108,35,ROCKVILLE WATER METER REPLACEMENT AND AMI IMPLEMENTATION,DW0069,15600,METERS REACHING END OF USEFUL LIFE,"INSTALL 3,300 ULTRASONIC WATER METERS WITH AMI AND AMI INFRASTRUCTURE","MATTHEW BREW, CITY OF ROCKVILLE",Montgomery,17,8,Y,Y,PUBLIC,Large,0,,04/01/2023,08/31/2027,"$3,490,000",$0,1,Y,Y,,04/01/2024,TRANSMISSION/DISTRIBUTION,,MD0150003,,,"3,490,000","3,490,000"
109,35,WESTMINSTER MD 140 PARALLEL WATER MAIN,DW0039,38000,REPAIRING A MAIN BREAK 18 FT BELOW MD 140 WOULD BE TREACHEROUS TO STAFF AND COMPLETELY SHUT DOWN MD 140,"INSTALL APPROX 1,150 LF NEW 12-IN CLASS 52 DUCTILE IRON PIPE BELOW MD 140 TO REPLACE 14-IN CAST IRON MAIN FEED","SARA IMHULSE, CITY OF WESTMINSTER",Carroll,05,2,Y,Y,PUBLIC,Large,1,,09/01/2024,06/30/2025,"$1,650,000",$0,1,Y,Y,,10/01/2023,TRANSMISSION/DISTRIBUTION,,MD0060015,,,"1,650,000","1,500,000"
110,35,LEAD AND COPPER RULE REVISION PROGRAM-CITY OF HAGERSTOWN,DW0089,108600,COMPLY WITH EPA LCRR,"HIRE PROFESSIONAL ENGR FIRM TO DEVELOP, MANAGE, IMPLEMENT LCRR","NANCY HAUSRATH, CITY OF HAGERSTOWN",Washington,02B,6,Y,2,PUBLIC,Large,1,LSL,07/01/2023,09/30/2024,"$450,000",$0,1,Y,Y,,,TRANSMISSION/DISTRIBUTION,,MD0210010,,Y,"450,000","450,000"
111,35,ANNE ARUNDEL COUNTY LEAD AND COPPER GAP INVENTORY,DW0008,444450,IDENTIFY LEAD SERVICE LINES,"APPROX 58,000 SERVICE LINES NOT IDENTIFIED IN COUNTY MAINTENANCE RECORDS","CHRISTOPHER MURPHY, ANNE ARUNDEL COUNTY DPW",Anne Arundel,30A,3,Y,2,PUBLIC,Large,0,LSL,07/01/2022,10/31/2024,"$2,476,200",$0,1,Y,Y,,,TRANSMISSION/DISTRIBUTION,,MD0020008,,Y,"2,476,217","2,030,000"
112,35,WC-1382 MONTEBELLO I FINISHED RESERVOIR STRUCTURAL REHABILITATION PHASE I,DW0019,1800000,"WATER INFILTRATION AND LOSS, NEED TO IMPROVE RESISTANCE TO SEISMIC EVENTS",STRUCTURAL REHAB OF UNDERGROUND FINISHED WATER RESERVOIR AT MONTEBELLO PLANT 1,"RICHARD LUNA, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,43A,7,Y,Y,PUBLIC,Large,1,,01/01/2024,12/31/2025,"$29,905,200",$0,1,Y,Y,,11/01/2018,TREATMENT,,MD0300002,,,"29,905,206","14,644,800"
113,35,WC-1382 MONTEBELLO I FINISHED RESERVOIR STRUCTURAL REHABILITATION-PHASE I,DW0117,1800000,"WATER INFILTRATION AND LOSS, NEED TO IMPROVE RESISTANCE TO SEISMIC EVENTS",STRUCTURAL REHAB OF UNDERGROUND FINISHED WATER RESERVOIR AT MONTEBELLO PLANT 1,"ROBERT BURROS, BALTIMORE COUNTY",Baltimore City,43A,7,Y,Y,PUBLIC,Large,0,,01/01/2024,12/31/2025,$0,$0,1,Y,Y,,11/01/2018,TREATMENT,,MD0300002,,,,"11,962,082"
114,30,TOWN OF RIDGELY WATER TOWER REDUNDANCY PROJECT - WATER MAIN,DW0030,1900,NEW INFRASTRUCTURE NEEDED TO MEET WATER SYSTEM STANDARDS OF OPERATION,CONSTRUCT NEW WATER MAIN TO CONNECT TO EXISTING TOWN SYSTEM,"STEPHANIE BERKEY, COMMISSIONERS OF RIDGELY",Caroline,36,1,Y,Y,PUBLIC,Small,1,,07/01/2024,07/31/2025,"$378,900",$0,1,,,,09/01/2023,TRANSMISSION/DISTRIBUTION,,MD0050006,,,"378,924","378,924"
115,30,SCADA IMPROVEMENTS - ROCKVILLE,DW0065,65700,OUTDATED & OBSOLETE PROGRAMMABLE LOGIC CONTROLLERS (PLCs) AND MODULES,REPLACE OBSOLETE PROGRAMMABLE LOGIC CONTROLLERS,"MATTHEW BREW, CITY OF ROCKVILLE",Montgomery,17,8,Y,2,PUBLIC,Large,0,,01/01/2024,04/30/2024,"$500,000",$0,1,Y,Y,,,TREATMENT,,MD0150003,,,"500,000","500,000"
116,30,WC-1397 MONTEBELLO WFP 1&2 CENTRAL CONTROL PANEL UPGRADES,DW0021,1800000,AGING CONTROL SYSTEMS CRITICAL TO WFP PERFORMANCE,REPLACE FILTER CONTROL PANELS AT MONTEBELLO FILTRATION PLANTS 1 & 2,"RICHARD LUNA, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,43A,7,Y,Y,PUBLIC,Large,1,,10/01/2023,04/30/2025,"$7,676,300",$0,1,Y,Y,,07/01/2019,TREATMENT,,MD0300002,,,"7,676,375","3,661,200"
117,30,WC-1397 MONTEBELLO WFP 1&2 CENTRAL CONTROL PANEL UPGRADES,DW0119,1800000,AGING CONTROL SYSTEMS CRITICAL TO WFP PERFORMANCE,REPLACE FILTER CONTROL PANELS AT MONTEBELLO FILTRATION PLANTS 1 & 2,"ROBERT BURROS, BALTIMORE COUNTY",Baltimore City,43A,7,Y,Y,PUBLIC,Large,0,,10/01/2023,04/30/2025,$0,$0,1,Y,Y,,07/01/2019,TREATMENT,,MD0300002,,,,"3,070,550"
118,30,WC-1408 MONTEBELLO PLANT 2 ELECTRICAL SUBSTATION REPAIRS,DW0022,1800000,"FACILITY CONSTRUCTED IN 1928 IN CRITICAL NEED TO REHAB, REPLACEMENT, & UPGRADES",REPLACE 2.4KV ELECTRICAL SUBSTATION AT MONTEBELLO PLANT 2 WITH A 15KV SUBSTATION WITH FEEDERS AND REPLACE SWITCHBOARD,"RICHARD LUNA, MAYOR AND CITY COUNCIL OF BALTIMORE",Baltimore City,43A,7,Y,Y,PUBLIC,Large,1,,10/01/2023,09/30/2025,"$8,920,000",$0,1,Y,Y,,12/01/2019,TREATMENT,,MD0300002,,,"8,920,000","2,440,800"
119,30,WC-1408 MONTEBELLO PLANT 2 ELECTRICAL SUBSTATION REPAIRS,DW0120,1800000,"FACILITY CONSTRUCTED IN 1928 IN CRITICAL NEED TO REHAB, REPLACEMENT, & UPGRADES",REPLACE 2.4KV ELECTRICAL SUBSTATION AT MONTEBELLO PLANT 2 WITH A 15KV SUBSTATION WITH FEEDERS AND REPLACE SWITCHBOARD,"ROBERT BURROS, BALTIMORE COUNTY",Baltimore City,43A,7,Y,Y,PUBLIC,Large,0,,10/01/2023,09/30/2025,$0,$0,1,Y,Y,,12/01/2019,TREATMENT,,MD0300002,,,,"3,568,000"
120,25,CLEAR SPRING WTP GENERATOR,DW0088,1100,NO BACKUP GENERATOR. UNABLE TO WITHDRAW & TREAT RAW WATER WITHOUT POWER OUTAGE,INSTALL EMERGENCY POWER SYSTEM FOR CLEAR SPRINGS PUMP HOUSES AND CHLORINE BLDG,"JUANITA K. GRIMM, TOWN OF CLEAR SPRING",Washington,01C,6,Y,Y,PUBLIC,Small,1,,,,"$100,000",$0,1,,,,,TRANSMISSION/DISTRIBUTION,,MD0210005,,,"100,000","100,000"
121,20,PFAS STUDY AT PALEO AND PARK WATER TREATMENT PLANTS IN CITY OF SALISBURY,DW0099,39233,DETECTABLE LEVELS OF PFAS IN WELLS,PLANNING STUDY TO DETERMINE REMEDIATION STRATEGY FOR PFAS,"CORI CAMERON, CITY OF SALISBURY",Wicomico,38B,1,Y,2,PUBLIC,Large,1,PFAS/EC,,,"$175,000",$0,1,Y,Y,,,OTHER,,MD0220004,Y,,"175,000","175,000"
122,10,ZONE #5 STUDY AND IMPROVEMENTS,DW0096,9000,"FIRE PROTECTION, ESTHETICALLY PLEASING WATER",STUDY TO PLAN/CONSTRUCT IMPROVEMENTS TO ZONE #5 AND OTHER PARTS OF WATER SYSTEM,"NANCY HAUSRATH, CITY OF HAGERSTOWN - UTILITIES DEPARTMENT",Washington,02B,6,Y,2,PUBLIC,Large,1,,04/01/2025,06/30/2026,"$10,000,000",$0,1,Y,Y,,01/01/2024,TRANSMISSION/DISTRIBUTION,,MD0210010,,,"10,000,000","8,000,000"
TOTAL,,,,,,,,,,,,,,,,,,,"$945,080,400","$16,070,000",,,,,,,,,,,"945,082,642","704,750,132"
