RANKING,SYSTEM,COUNTY,PROJECT.NAME,PROJECT.DESCRIPTION.x,IJDC..NUMBER,X1..PERCENT..MHI,X3400.CURRENT,X3400.PROPOSED,AFFORD..ABILITY,DISADVAN...TAGED,DWTRF..TERMS.x,NEW.POPU...LATION,POINTS,HEALTH,COMPLIANCE,AFFORD..ABILITY.1,DWTRF..FUNDING..REQUESTED,TOTAL.COST,DWTRF.Eligible..Funding.Type,BYPASS.RATIONALE,PROJECT.DESCRIPTION.y,DWTRF..TERMS.y,POPULATION,ESTIMATED.DATE..OF..CONSTRUCTION,GREEN..PROJECT..DESIGNATION,GREEN..PROJECT..RESERVE,DWTRF..ASSISITANCE..FROM.BASE..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM.BASE..GRANT,DWTRF..ASSISITANCE..FROM..SUPPLEMENTAL..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM..SUPPLEMENTAL..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM..EMERGING..CONT..GRANT,DWTRF..ASSISITANCE..FROM.LSLR..GRANT,DWTRF..PRINCIPAL..FORGIVENESS..FROM.LSLR..GRANT,TOTAL.DWTRF..ASSISTANCE,TOTAL..PROJECT..COST
65,"Gilbert, Town of",Mingo,Upper Gilbert Creek Water Project,"This project will extend public water service to approx. 441 customers in the upper Gilbert Creek area of Mingo county. The project includes water lines, 2 booster stations and 2 tanks.",TBD,$34.60 ,$49.00 ,TBD,1.77,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","1,687",TBD,TBD,TBD,25,"$6,000,000 ","$8,600,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"Gilbert, Town of",Mingo,Gilbert WTP Upgrade,"WTP upgrade project to increase capacity from 200 gpm to 800 gpm and replace multiple worn components. Project also includes a new 600,000 gallon storage tank.",TBD,$34.60 ,$49.00 ,TBD,1.77,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","1,687",TBD,TBD,TBD,25,"$6,000,000 ","$7,500,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,Norton Harding Jimtown PSD,Randolph,WTP and Water System  Improvements,"This project proposes the replacement/rehabilitation of critical water treatment plant and water distribution system components within the Norton Harding Jimtown PSD service area. Water treatment plant improvements consist of replacing the existing, aging 400GPM water treatment plant with a 500GPM water treatment plant. Water distribution system improvements consist of aging, existing tanks, booster stations and water line rehabilitations.",TBD,$41.10 ,$39.59 ,TBD,1.2,TBD,TBD,"1,707",TBD,TBD,TBD,10,"$2,500,000 ","$10,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,Monumental PSD,Marion,Water System Improvements PH II,"This project is Phase II of replacing old and undersized water lines with new larger waterlines and appurtenances to improve distribution system hydraulics, provide fire flow, and improve reliability.",TBD,$44.96 ,$41.04 ,TBD,1.14,TBD,TBD,"1,924",TBD,TBD,TBD,10,"$3,950,000 ","$3,950,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,Tomlinson PSD,Hancock,Acquisition of Newell Water System,"The proposed project will replace the majority of the existing water lines, valves and hydrants in the community of Newell and construct a new 800-gpm ground water treatment plant.",TBD,$41.62 ,$41.95 ,TBD,1.26,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","2,012",TBD,TBD,TBD,15,"$6,500,000 ","$12,500,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"Elizabeth, Town of",Wirt,Rt. 14 Water Line Improvements  Ph II,This project will consist of water line replacement along Rt. 14.,TBD,$33.01 ,$55.20 ,TBD,2.09,Yes,"0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness","2,072",TBD,TBD,TBD,30,"$1,000,000 ","$2,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,Mountain Top PSD,Grant,Water Meter System Upgrades,This project will purchase and install a complete radio read meter system throughout the district to increase system efficiency and accountability.,TBD,$40.72 ,$35.80 ,TBD,1.1,TBD,TBD,"2,072",TBD,TBD,TBD,10,"$600,000 ","$600,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,Harpers Ferry Water Works,Jefferson,Water System Improvements,This project will upgrade the water distribution system in the Harpers Ferry Water Works service area using PSC approved plans not implemented in 2021 due to cost overruns.,TBD,$68.45 ,$50.90 ,TBD,0.93,No,"2.5%, 0.25%  Admin, 20 years","2,122",TBD,TBD,TBD,5,TBD,"$9,635,200 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,Greater Harrison Co PSD,Harrison,Water System Improvements PH II,"This project will upgrade multiple sections of the entire water systems including replacement in McWorter, upsizing lines in Quiet Dell and Brushy Fork. The project also will extend public water service to residents on Hastings Run Rd. and Duck Creek Rd. Replacement of two existing water storage tanks is also included in the project scope.",TBD,$45.82 ,$39.00 ,TBD,1.06,TBD,TBD,"2,159",TBD,TBD,TBD,10,"$4,000,000 ","$7,185,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"Harrisville, Town of",Ritchie,Mellin Ridge Water Line  Extension,"This project will extend public water service west from the Washburn Pump Station along Gillespie Run Road and Mellin Ridge Road. The proposed extension will provide potable water service to approximately 60 new customers. The extension will consist of the installation of approximately 52,300 linear feet (LF) of new water pipe ranging in size from six (6) inches to two (2) inches in diameter. The existing Washburn pump station will also be upgraded with new pumps. a SCADA system. and other equipment to support the increased water distribution demand due to this project.",TBD,$42.60 ,$35.56 ,TBD,1.04,TBD,TBD,"2,246",TBD,TBD,TBD,10,"$2,200,000 ","$3,200,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,Mountain View Water Assoc.,Taylor,Water System Improvements,"Project includes 16,000lf of water line extension, 55,100lf of failing water line replacement, a new booster pump station, and repair of an existing PRV.",TBD,$45.80 ,$40.36 ,TBD,1.1,TBD,TBD,"2,263",TBD,TBD,TBD,10,"$6,700,000 ","$6,700,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,Century Volga PSD,Barbour,Water System Improvements,"Project includes replacing the liquid level indicator at 2 storage tanks, construction of one new 1,000 gallon storage tank, repair or replacment of two PRV stations and replacing approx. 1000 water meters.",TBD,$38.61 ,$55.01 ,TBD,1.78,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","2,492",TBD,TBD,TBD,25,"$1,700,000 ","$2,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Northern Jackson County PSD,Jackson,Sarvis Fork Extension,"This project will provide public water service and fire protection to approx. 15 homes in the Sarvis Fork area. Project includes approx. 18,880 lf of 6 through 2 inch water line.",TBD,$33.35 ,$39.72 ,TBD,1.49,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","2,506",TBD,TBD,TBD,15,"$1,575,000 ","$1,575,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,Sun Valley PSD,Harrison,Cherry Camp Extension to Rt 23,"This project proposes to extend public water service along State Routes 50/5, 50/4 and 50/43 to provide a water source to Doddridge county PSD. Sun Valley PSD will pick up approx. 65 new customers on the extension and would allow Doddridge county PSD to serve additional residents along Route 23.",TBD,$45.82 ,$54.65 ,TBD,1.5,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","2,657",TBD,TBD,TBD,20,"$4,000,000 ","$8,500,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,Short Line PSD,Harrison,Water System Improvements,"This project proposes to replace approximately 50,000 LF of water line ranging in size for 4"" to 8"" in the existing system. These sections of line have been prone to breaks and is causing severe operation and maintenance issues for the District. The District is also proposing to replace sections of valves, hydrants and upgrade their outdated meters to new radio read meters. The District is proposing to replace their existing booster pump station that has severely deteriorated and is at risk of catastrophic failure.",TBD,$45.82 ,$40.80 ,TBD,1.11,TBD,TBD,"2,681",TBD,TBD,TBD,10,"$3,000,000 ","$4,950,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,Branchland-Midkiff PSD,Lincoln,14 Mile Creek Rd. Water  Extension Project,"Project will extend water service to 26 customers in the 14 Mile Creek Rd. area of Lincoln County. Project includes water lines, booster station and tank. Project would also establish an interconnection with the Logan County PSD.",TBD,$37.29 ,$54.13 ,$54.13 ,1.81,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","3,278",TBD,TBD,TBD,25,"$2,000,000 ","$2,500,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,Branchland-Midkiff PSD,Lincoln,Six Mile Creek Water Extension  Project,"Project will extend water service to 47 customers in the Six Mile Creek Rd. area of Lincoln County. Project includes water lines, booster station and tank.",TBD,$37.29 ,$54.13 ,$54.13 ,1.81,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","3,278",TBD,TBD,TBD,25,"$2,000,000 ","$3,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,Branchland-Midkiff PSD,Lincoln,Two Mile Creek Water Extension  Project,"Project will extend water service to 61 customers in the Two Mile Creek Rd. and Little Lural Creek areas of Lincoln County. Project includes water lines, booster station and tank.",TBD,$37.29 ,$54.13 ,$54.13 ,1.81,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","3,278",TBD,TBD,TBD,25,"$2,800,000 ","$3,800,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,Branchland-Midkiff PSD,Lincoln,Trace Fork and Hamlin Water  Extension Project,Project will extend water service to 61 customers in the Trace Fork and the area between W. Hamlin and 4 Mile Creek. Project includes water lines and a booster station. Project will also eliminate a failing river crossing.,TBD,$37.29 ,$54.13 ,$54.13 ,1.81,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","3,278",TBD,TBD,TBD,25,"$2,400,000 ","$3,400,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,Crum PSD,Wayne,Crum WTP Project,"This project will construct an new WTP to serve Crum PSD's 1,345 customers and possibly provide water to the Town of Kermit (524 customers) and the Town of Fort Gay (625 customers). This is a possible consolidation project.",TBD,$37.83 ,$57.65 ,TBD,1.9,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","3,437",TBD,TBD,TBD,25,"$8,730,000 ","$8,730,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Marshall Co PSD No. 1,Marshall,Water System Upgrade Project Ph  I,"This project will replace water lines, upgrade a booster station, and replace all water meters in the district. This project will upgrade water service to 45 customers from Fort Clark Dr. to Oakwood Dr. in Marshall County.",TBD,$47.06 ,$27.23 ,TBD,0.72,TBD,TBD,"3,463",TBD,TBD,TBD,5,"$4,000,000 ","$5,050,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,Buffalo Creek PSD,Logan,Larado WTP Upgrade Project,"Plant upgrade project to replace worn components, construct backwash basin, sludge handling, and convert backwash tank to clearwell.",TBD,$38.29 ,$29.55 ,TBD,0.96,TBD,TBD,"3,464",TBD,TBD,TBD,5,"$3,000,000 ","$3,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,Buffalo Creek PSD,Logan,South Man Water Upgrade Project,"Project will replace distribution system in South Man, increase size of the connect between the PSD and former Town of Man and replace deteriorated water lines in two other locations.",TBD,$38.29 ,$29.55 ,TBD,0.96,TBD,TBD,"3,464",TBD,TBD,TBD,5,"$3,000,000 ","$4,200,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,"Logan, City of",Logan,WTP Improvements,This project consists of miscellaneous improvements to the existing City of Logan WTP.,TBD,$30.95 ,$22.33 ,TBD,0.9,TBD,TBD,"3,788",TBD,TBD,TBD,5,"$5,000,000 ","$6,100,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,Lashmeet PSD (WVAWC),Mercer,Brickyard Road Waterline  Extension,This project will construct a water line extension into the Mercer Co. areas of Brickyard Rd. and a portion of Old Gardner Rd. in order to provide public water service and fire protection to the residents in these areas. This extension will allow for a future water line extension into the Rock Branch area.,2022W-2111,$37.70 ,$0.00 ,$51.14 ,1.7,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","3,794",TBD,TBD,TBD,TBD,"$3,973,406 ","$6,978,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,Lincoln PSD,Lincoln,Water System Upgrades,"This project consists of removing and replacing approx. 35,000 lf of various sized existing lead jointed and transite water line throughout the water distribution system, preforming upgrades to the raw water intake and rehabilitation of two existing water storage tanks.",TBD,$37.29 ,$44.49 ,TBD,1.5,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","3,814",TBD,TBD,TBD,20,"$4,500,000 ","$6,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,"White Sulphur Springs, City of",Greenbrier,Mapledale Water Storage Tank,Project consists of upgrades to the existing booster station and construction of a new water storage tank and water line to improve water quality in the Town's distribution system.,TBD,$31.63 ,$33.63 ,TBD,1.33,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","3,845",TBD,TBD,TBD,10,"$1,100,000 ","$1,100,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,"White Sulphur Springs, City of",Greenbrier,Waterline Replacement Project,Project will replace old and deteriorated water lines in the cities water distribution system to alleviate leaks and water loss.,TBD,$31.63 ,$33.63 ,TBD,1.33,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","3,845",TBD,TBD,TBD,10,"$3,000,000 ","$3,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,"White Sulphur Springs, City of",Greenbrier,Water System Interconnection  Project,"Project will construct water lines, pump station and storage tank to allow for an emergency interconnection between White Sulphur Springs and Lewisburg.",TBD,$31.63 ,$33.63 ,TBD,1.33,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","3,845",TBD,TBD,TBD,10,"$3,000,000 ","$3,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,"White Sulphur Springs, City of",Greenbrier,WTP Improvements,Project consisting of upgrades to the existing water treatment plant to increase capacity and reduce run time.,TBD,$31.63 ,$33.63 ,TBD,1.33,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","3,845",TBD,TBD,TBD,10,"$3,000,000 ","$3,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,Valley Falls PSD,Marion,Water System Replacements,"This project includes replacement of approx. 91,000 lf of failing water line throughout the Valley Falls PSD's system.",TBD,$44.96 ,$47.28 ,TBD,1.31,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","3,991",TBD,TBD,TBD,15,"$8,600,000 ","$8,600,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,Marshall Co PSD No. 4,Marshall,Water System Upgrades,"This project includes replacement of undersized water lines, booster pump station upgrades, valve replacements, upgrades to PRVS and various other system improvements.",TBD,$47.06 ,$46.64 ,TBD,1.24,TBD,TBD,"4,063",TBD,TBD,TBD,10,"$3,200,000 ","$3,200,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,Marshall County PSD No.3,Marshall,Water System Improvements,"This project includes removal and replacement of water lines in various areas of the system, rehabilitation of water storage tanks, water meter replacement, and installation of a new fixed point meter reading system.",TBD,$47.06 ,$46.64 ,TBD,1.24,TBD,TBD,"4,063",TBD,TBD,TBD,10,"$2,000,000 ","$2,500,000 ",DWSRF Base  Program/Supplement al Funding,Requesting earmark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,Hughes River Water Board,Ritchie,WTP Upgrades,"This project will replace the sand filter media, filter air piping, raw water pumps and electrical check valves. The project will also rehabilitate the intake wet well, install SCADA and add VFDs for the high service pumps.",TBD,$39.20 ,TBD,TBD,TBD,TBD,TBD,"4,278",TBD,TBD,TBD,TBD,"$1,100,000 ","$2,200,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,"Spencer, City of",Roane,Water System Improvements,"Project includes installation of approx. 1,800 lf of 8"" water line, repainting two storage tanks, and modifications to the raw water pumping stations.",TBD,$23.39 ,$44.92 ,TBD,2.4,Yes,"0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness","4,393",TBD,TBD,TBD,30,"$1,000,000 ","$1,970,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,New Haven PSD,Fayette,Lucas Road Extension,"This project will extend public water service to approx. 33 customers along Lucas Rd. in northern Fayette county. The project will install 17,000 lf of 8"" line and 11,000 lf of 6"" line, 28 fire hydrants and all valves, meters, blowoffs and other appurtenances necessary.",TBD,$37.81 ,$57.94 ,$57.94 ,1.81,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","4,409",TBD,TBD,TBD,25,"$1,750,000 ","$3,491,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,New Haven PSD,Fayette,Old Gwinn Rd. Extension,"This project will extend public water service to approx. 16 customers along Old Gwinn Rd. in northern Fayette county. The project will install 12,000 lf of 6"" line, 8 fire hydrants and all valves, meters, blowoffs and other appurtenances necessary.",TBD,$37.81 ,$57.94 ,$57.94 ,1.81,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","4,409",TBD,TBD,TBD,25,"$1,500,000 ","$3,283,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,New Haven PSD,Fayette,Whispering Pines Extension,"This project will extend public water service to approx. 6 customers along Whispering Pines Lane in northern Fayette county. The project will install 5,700 lf of 6"" line, 5 fire hydrants and all valves, meters, blowoffs and other appurtenances necessary.",TBD,$37.81 ,$57.94 ,$57.94 ,1.81,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","4,409",TBD,TBD,TBD,25,"$500,000 ","$750,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,New Haven PSD,Fayette,White Road Extension,"This project will extend public water service to approx. 62 customers along White Rd. in northern Fayette county. The project will install 22,000 lf of 8"" line, 22,000 lf of 6"" line, 22 fire hydrants and all valves, meters, blowoffs and other appurtenances necessary.",TBD,$37.81 ,$57.94 ,$57.94 ,1.81,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","4,409",TBD,TBD,TBD,25,"$3,500,000 ","$4,952,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,Wilderness PSD,Nicholas,Water System Improvements Phase  II,"Project includes water line replacements, cleaning and painting of water storage tanks, booster station upgrades, telemetry replacement and WTP improvements.",2021W-1995,$40.80 ,$42.38 ,TBD,1.3,Yes,"1%, 0.25%  Admin, 30  years, Principal","4,475",TBD,TBD,TBD,10,"$4,369,000 ","$4,369,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,Logan County PSD,Logan,Greenville WTP Upgrade Project,"This project will upgrade the WTP to increase capacity from 700 gpm to 1,400 gpm and replace several worn components. Project also includes a 600,000 storage tank.",TBD,$38.29 ,$41.05 ,TBD,1.34,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","4,562",TBD,TBD,TBD,15,"$4,000,000 ","$5,700,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,Huttonsville PSD,Randolph,Meter Replacement,"This project will replace 1,000 water meters throughout the system.",TBD,$30.78 ,$49.60 ,TBD,2.01,Yes,"0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness","4,863",TBD,TBD,TBD,30,"$300,000 ","$300,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,"Keyser, City of",Mineral,WTP and Water System  Improvements,This project proposes to construct a new WTP or upgrade the current WTP in the City of Keyser. The City has recently seen Cryptosporidium violations that will require upgrades to the WTP. The project will also make improvements to the Old Orchard pump station and install telemetry pump stations and tank sites.,TBD,$25.47 ,$29.13 ,TBD,1.43,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","5,202",TBD,TBD,TBD,15,"$2,000,000 ","$10,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"Wayne, Town of",Wayne,Big Lynn Creek Water Extension Project,"Water extension project to serve approx. 120 customers in the Big Lynn and Little Lynn Creek areas of Wayne county. Project would require a 100 gpm booster pump station and 140,000 gallon water storage tank.",TBD,$18.29 ,$33.86 ,TBD,2.31,Yes,"0.5%, Admin.  Waived, 40 yrs.,  Principal  Forgiveness","5,265",TBD,TBD,TBD,30,"$4,500,000 ","$4,500,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,Red Sulphur PSD,Monroe,Water Line Replacement Project,"The project consists of the replacement of approximately 13,400 linear feet (1.f.) of lead joint cast iron pipe installed in the 1930s. The project is expected to increase water accountability by replacing water line that has exceeded it useful life and is known to be a contributor of water loss in the RSPSD water distribution system.",TBD,$34.46 ,$30.69 ,TBD,1,TBD,TBD,"5,352",TBD,TBD,TBD,10,"$4,975,300 ","$4,975,300 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,"Milton, City of",Cabell,WTP Disinfection System Upgrade,This project includes design and construction of an ultraviolet disinfection system at the water treatment plant to address cryptosporidium.,TBD,$36.98 ,$33.10 ,TBD,1.12,TBD,TBD,"5,520",TBD,TBD,TBD,10,"$500,000 ","$500,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,"Milton, City of",Cabell,WTP Upgrades,"Improvements to the WTP including a new presedimentation basin, new pressure filters, sludge handling upgrades and upgrades to the electrical system.",TBD,$36.98 ,$33.10 ,TBD,1.12,TBD,TBD,"5,520",TBD,TBD,TBD,10,"$5,000,000 ","$7,800,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,Mingo County PSD,Wyoming,Rockhouse Branch-Western  Wyoming Ph 5,"Water extension project to serve approx. 63 residences and businesses in the Rockhouse Branch/Lincoln area of western Wyoming County. Project would be supplied by the 150 gpm booster pump station and 400,000 gallon water storage tank constructed as part of the Hanover Ph 1 project.",TBD,$35.14 ,$42.40 ,TBD,1.51,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","6,324",TBD,TBD,TBD,20,"$3,000,000 ","$3,000,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,Mingo County PSD,Wyoming,Ikes Fork-Western Wyoming Ph 4  Project,"This project will extend public water service to approx. 192 residences and businesses in the Ikes Fork/Muzzle Creek area of western Wyoming County. Project will utilize 80 gpm booster pump station and 100,000 gallon water storage tank constructed as part of the Hanover Ph 1 project.",TBD,$35.14 ,$42.40 ,TBD,1.51,Yes,"1%, 0.25%  Admin, 30  years, Principal  Forgiveness","6,324",TBD,TBD,TBD,20,"$5,300,000 ","$5,300,000 ",DWSRF Base  Program/Supplement al Funding,Project design has not  started and is not ready  for construction.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
