"SELFScore",Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME
137,"NECEDAH, VILLAGE OF",5201-03,"Construct Well/House #5, Trtmt, Electrical, Piping, Backwash","$1,825,000.00",WC,Cameron
137,STITZER SD,5497-03,"Replace WMs on CTH E, Creamery St, & Commercial St","$520,000.00",SC,Zettl
135,"ASHLAND, CITY OF",4759-21,Replace Watermain on 13th Ave East,"$930,000.00",NO,Andruczyk
135,"BIRCHWOOD, VILLAGE OF",5478-01,"Construct Well/House 2, Connecting Mains, SCADA, Treatment","$1,400,000.00",NO,Andruczyk
135,"CASSVILLE, VILLAGE OF",5469-08,Replace WM Bluff St,"$500,000.00",SC,Zettl
135,"CASSVILLE, VILLAGE OF",5469-07,Replace WM Du Chien St,"$250,000.00",SC,Zettl
135,"MUSCODA, VILLAGE OF",5159-07,Replace WMs on Iowa & Elm St Including Looping,"$1,970,000.00",SC,Zettl
135,"TWO RIVERS, CITY OF1",4920-46,Replace Public Laterals on Lincoln/Wash/22nd/14th/24th/Prairie,"$2,000,000.00",NE,Hannes
134,"CAMBRIDGE, VILLAGE OF",5055-04,"Well 2 Rehab, Pump Motor","$2,855,600.00",SC,Zettl
134,"CAMBRIDGE, VILLAGE OF",5055-05,"Well 3 rehab, treatment","$2,855,600.00",SC,Zettl
134,"SOUTH WAYNE, VILLAGE OF",5435-07,Replace WMs along Center St. and Verley St.,"$1,760,000.00",SC,Zettl
133,"BLOOMER, CITY OF",4769-04,Replace WMs on Priddy St.,"$501,975.00",WC,Cameron
133,"BLOOMER, CITY OF",4769-02,Replace WMs/Valves/Hydrants/Services along 16th Avenue,"$712,859.00",WC,Cameron
132,"DARLINGTON, CITY OF",5387-04,Construct Well #3,"$800,000.00",SC,Zettl
132,"KAUKAUNA, CITY OF1",5120-08,"Replace WMs on Kenneth,Park,Klein,4th,5th Streets","$19,430,000.00",NE,Hannes
132,"WEYAUWEGA, CITY OF",4936-02,"Construct New Elevated Tank, Booster Pump;Demo Existing Tank","$3,338,236.00",NE,Hannes
131,"MONTREAL, CITY OF",5621-03,Treat Well #5 for Mn & DBP,"$1,500,000.00",NO,Andruczyk
131,"WEST BARABOO, VILLAGE OF",4933-06,Construct new well #2 and well house,"$2,350,000.00",SC,Zettl
127,"MINONG, VILLAGE OF",5447-06,Replace WM along STH 77,"$297,500.00",NO,Andruczyk
127,"TURTLE LAKE, VILLAGE OF",5164-14,"Replace undersized WMs, loop dead ends","$4,260,000.00",NO,Cameron
126,"COLOMA, VILLAGE OF",4787-03,"Replace WMs along Linden St, Scott St & 3rd St","$1,051,000.00",NE,Hannes
126,"HURLEY, CITY OF",5340-06,Replace WMs along Second Ave,"$1,403,903.00",NO,Andruczyk
126,"WAUZEKA, VILLAGE OF",4932-02,Replace WM on Main from Dousman to Timber,"$700,000.00",WC,Zettl
125,"SHULLSBURG, CITY OF",5493-06,"Replace WMs on Charity, Mineral, Diagonal, and Main St","$1,500,000.00",SC,Zettl
125,"TWO RIVERS, CITY OF1",4920-42,Replace Public LSLs (2023),"$500,000.00",NE,Hannes
124,"BOWLER, VILLAGE OF",5112-03,Rehab Water Tower; Replace Riser Pipes; SCADA; Security,"$400,000.00",NE,Hannes
124,"BROWNTOWN, VILLAGE OF",5056-03,Rehab Water Tower,"$347,125.00",SC,Zettl
122,"VESPER, VILLAGE OF",5549-02,Construct West & Southwest Looping Mains,"$1,070,000.00",WC,Cameron
121,"PARK FALLS, CITY OF",5249-10,Replace WMs 9th S/1st S&N/Harmony/Saunders,"$1,700,000.00",NO,Andruczyk
120,THREE LAKES SD #1,5441-04,"Replace WM:Stanzil,North,S MI,RR,Olkowski,Nielson,Park,East","$1,150,000.00",NO,Andruczyk
118,"MONDOVI, CITY OF",5620-02,Treat Well #1 for Mn,"$446,000.00",WC,Cameron
116,"GRATIOT, VILLAGE OF",5197-05,Replace WM on Main St.,"$1,188,500.00",SC,Zettl
116,WIOTA SD #1,5442-03,Upgrade Well/House #1 Including Controls & Pump,"$700,000.00",SC,Zettl
115,"BRUCE, VILLAGE OF",5545-03,Construct WTP for Wells #1 and 3 Mn,"$718,846.00",NO,Andruczyk
115,"CASSVILLE, VILLAGE OF",5469-09,Replace WM Jo Davies St,"$500,000.00",SC,Zettl
114,"LA FARGE, VILLAGE OF",4827-04,Replace WMs along Main St.,"$1,700,000.00",WC,Cameron
114,"OSSEO, CITY OF",4875-04,"Construct New WTP, Upgrade Well Head, Demo Existing WTP","$6,267,450.00",WC,Cameron
112,"BLOOMINGTON, VILLAGE OF",5065-04,Construct Well  2 and Appurtenances,"$800,000.00",SC,Zettl
112,"CHASEBURG, VILLAGE OF",5306-01,"Construct Well, Well House, Treatment, Connecting Mains","$800,000.00",WC,Cameron
111,"READSTOWN, VILLAGE OF",4892-03,Replace WMs at Multiple Locations,"$1,400,000.00",WC,Cameron
110,"ABBOTSFORD, CITY OF",4748-09,New Well to address nitrate/capacity,"$1,374,000.00",WC,Cameron
110,"KEWAUNEE, CITY OF",5508-03,Replace WMs along Dodge St.,"$1,390,630.00",NE,Hannes
109,"DORCHESTER, VILLAGE OF",5066-09,"Upgrade WTP Electrical Controls, SCADA & Booster Priming Sys","$200,000.00",WC,Cameron
109,"MATTOON, VILLAGE OF",4842-02,Rehab Elevated Storage Tank,"$400,000.00",NE,Hannes
109,"NELSON, VILLAGE OF",5524-04,Construct New Well #2 and Pumphouse,"$938,000.00",WC,Cameron
108,"JUNCTION CITY, VILLAGE OF",4989-10,Construct Looping Main on E 3rd St.,"$421,000.00",WC,Andruczyk
108,"PIGEON FALLS, VILLAGE OF",5162-01,Construct New Well & Connections; Upgrade Treatmnt Facility,"$2,000,000.00",WC,Cameron
108,"STETSONVILLE, VILLAGE OF",5326-03,New Well and appurtenances,"$550,000.00",NO,Andruczyk
107,"ASHLAND, CITY OF",4759-13,Install New 4000' Intake Pipe; Construct New Inlet Structure,"$3,960,000.00",NO,Andruczyk
107,"OMRO, CITY OF",5091-12,Upgrade/Treat Well #2 for Mn,"$900,000.00",NE,Hannes
