"SELFScore",Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME
83,"ANTIGO, CITY OF",4754-10,Replace 0.15MG Tower/SCADA,"$600,000.00",NO,Andruczyk
82,"GREENWOOD, CITY OF",5246-07,Replace WM on West Miller St,"$2,023,400.00",WC,Cameron
82,"MILWAUKEE, CITY OF1",4851-42,"Replace WMs and LSLs, Multiple Locations","$37,281,000.00",SE,Fuja
82,"NEKOOSA, CITY OF",4858-13,Replace WM - Fairview Ln from S Section St to Point Basse Av,"$486,200.00",WC,Cameron
82,"UNION CENTER, VILLAGE OF",5577-01,Replace WMs; Loop Dead Ends on South End,"$450,000.00",WC,Cameron
82,"WEBSTER, VILLAGE OF",5517-04,Replace WM and construct new looping mains,"$750,000.00",NO,Cameron
81,"ALTOONA, CITY OF",5209-06,"Construct well #9, wellhouse, emergency power & connect main","$1,150,000.00",WC,Cameron
81,"RHINELANDER, CITY OF",5288-18,"Replace WM on Messner, Rose, Evergreen Streets, Lakeshore Dr","$1,352,980.00",NO,Andruczyk
81,"RIPON, CITY OF",5289-15,Replace WM on Wenceslaus Street,"$120,000.00",NE,Hannes
80,"BLACK EARTH, VILLAGE OF",5484-03,Well Rehab/Upgrade,"$1,500,000.00",SC,Zettl
80,"LIVINGSTON, VILLAGE OF",5248-07,Replace WM on Park St,"$441,000.00",SC,Zettl
80,"RIDGEWAY, VILLAGE OF",5206-05,"Replace WMs on Weaver, Kirby, Keane, Hughitt & E. Main Alley","$1,210,000.00",SC,Zettl
79,"ABBOTSFORD, CITY OF",4748-10,Replace WM along Cedar St.,"$640,970.00",WC,Cameron
78,"OAKFIELD, VILLAGE OF",5050-04,"Replace WMs on Main, Church, & Filby St","$442,724.00",NE,Hannes
76,"DARLINGTON, CITY OF",5387-05,Replace WMs on Driver and Clay Streets,"$765,000.00",SC,Zettl
76,"MONTICELLO, VILLAGE OF",4853-03,Replace WMs Along E Lake Ave,"$2,500,000.00",SC,Zettl
76,"PLAINFIELD, VILLAGE OF",4880-06,"Replace WMs on Clark, Elizabeth, West, Alley Main; Looping","$906,000.00",NE,Hannes
76,"RIDGEWAY, VILLAGE OF",5206-09,Replace WM on Farwell St. from Richards to Main,"$375,000.00",SC,Zettl
76,"THORP, CITY OF",4922-17,"Replace WM on Main, School, Thorp & Clark Sts","$1,718,000.00",WC,Cameron
76,"WESTBY, CITY OF",5440-08,Replace WMs on Sunset/Greenbriar/Meadowlark/Blackhawk/Ulland,"$1,700,000.00",WC,Cameron
75,"MONROE, CITY OF1",4852-18,Replace Public-Side LSLs,"$1,500,000.00",SC,Zettl
74,"ABBOTSFORD, CITY OF",4748-11,Water Tower Rehab,"$672,000.00",WC,Cameron
74,"LAKE GENEVA, CITY OF",5607-04,Replace WMs on Evergreen/Lakewood/Lakeshore,"$825,000.00",SE,Fuja
74,"RIB LAKE, VILLAGE OF",5367-02,Water Tower Rehabilitation,"$500,000.00",NO,Andruczyk
73,"CAMP DOUGLAS, VILLAGE OF",5468-04,Replace WMs on Murray and Good Sts.,"$714,000.00",WC,Cameron
73,"DORCHESTER, VILLAGE OF",5066-08,Replace WM Along S 3rd St,"$789,400.00",WC,Cameron
73,"DORCHESTER, VILLAGE OF",5066-07,Replace WMs Along N Front St & N 3rd St,"$1,250,000.00",WC,Cameron
73,"GREEN LAKE, CITY OF",5460-04,Replace WM on Illinois Ave,"$1,669,217.00",NE,Hannes
73,"KENDALL, VILLAGE OF",5398-04,"Rehab Well #4, SCADA, Electrical","$2,235,307.00",WC,Cameron
73,"LA VALLE, VILLAGE OF",4831-03,"Replace WMs Along Commercial, Madison & Franklin St","$615,000.00",SC,Zettl
73,"WINTER, VILLAGE OF",5584-08,Replace Services&meters mobile home park,"$192,250.00",NO,Andruczyk
73,"WINTER, VILLAGE OF",5584-06,Replace Valves/hydrants,"$1,600,000.00",NO,Andruczyk
72,"COBB, VILLAGE OF",5264-03,Replace WMs Along Clifton St & School St,"$715,000.00",SC,Zettl
72,"MERRIMAC, VILLAGE OF",4849-02,Rehab Well #1,"$300,000.00",SC,Zettl
72,"WHITEHALL, CITY OF",4937-06,Replace WM along Hobson St.,"$1,374,278.00",WC,Cameron
70,"BAYFIELD, CITY OF",5385-08,"Replace Aged/Undersized WMs; Abandon 4""; Replace Services","$1,350,000.00",NO,Andruczyk
70,"BEAVER DAM, CITY OF1",4764-06,"Watermain Replacement, Haskell St","$850,000.00",SC,Zettl
70,"BEAVER DAM, CITY OF1",4764-05,"Watermain Replacement, Third St","$350,000.00",SC,Zettl
70,"MADISON, CITY OF1",4837-06,Water Main Improvements 2023,"$5,050,000.00",SC,Zettl
70,"WATERLOO, CITY OF",4962-06,"Upgrade electrical, pumping, controls, chem feed @ well 2","$1,000,000.00",SC,Zettl
69,"WINTER, VILLAGE OF",5584-07,Replace water meters,"$1,600,000.00",NO,Andruczyk
69,"WINTER, VILLAGE OF",5584-04,Well 2 rehab/upgrades,"$1,600,000.00",NO,Andruczyk
69,"WINTER, VILLAGE OF",5584-05,Well 3 rehab/upgrades,"$1,600,000.00",NO,Andruczyk
68,"BARRON, CITY OF",5473-09,"Watermain Replacement on La Salle Ave, between Mill and 7th St","$1,200,000.00",NO,Cameron
68,"GILLETT, CITY OF",5632-01,Replace WM on E Washington St and Green Bay Ave,"$717,500.00",NE,Hannes
68,"NEW LONDON, CITY OF",5564-03,Replace Public LSLs (2023),"$1,000,000.00",NE,Hannes
68,"NEW LONDON, CITY OF",5564-02,Replace WMs on Avon/Smith/Algoma/Quincy,"$1,000,000.00",NE,Hannes
67,"LADYSMITH, CITY OF",5369-16,Replace WMs along Summit Ave,"$573,931.00",NO,Andruczyk
67,"MILWAUKEE, CITY OF1",4851-41,"Replace WMs, Multiple Locations","$34,300,000.00",SE,Fuja
66,"ABBOTSFORD, CITY OF",4748-12,"Upgrades to Power, Control Equipment, and SCADA","$750,000.00",WC,Cameron
66,"BEAVER DAM, CITY OF1",4764-07,"Watermain Replacement, East Davis St","$650,000.00",SC,Zettl
66,"BEAVER DAM, CITY OF1",4764-08,"Watermain Replacement, South Spring St","$1,400,000.00",SC,Zettl
65,"NEW GLARUS, VILLAGE OF",5623-06,Rehab/Upgrade Booster Station,"$1,300,000.00",SC,Zettl
65,"WINTER, VILLAGE OF",5584-03,Rehab Water Tank,"$508,500.00",NO,Andruczyk
64,"LADYSMITH, CITY OF",5369-17,Replace WMs along W. 5th St. N.,"$532,374.00",NO,Andruczyk
63,"COLBY, CITY OF",4786-12,Replace WM on North 2nd and North Streets,"$832,000.00",WC,Cameron
63,"MENASHA, CITY OF1",4845-21,2023 WM Replacements,"$1,045,000.00",NE,Hannes
63,"WEST BARABOO, VILLAGE OF",4933-05,Replace WMs on Linn St.,"$970,000.00",SC,Zettl
62,"HILBERT, VILLAGE OF",4987-02,Upgrade Well #4; Fe Treatment,"$450,000.00",NE,Hannes
62,"OAKDALE, VILLAGE OF",5451-02,"Construct Well #2, Connecting Main, SCADA","$935,000.00",WC,Cameron
61,"DODGEVILLE, CITY OF",4795-10,Rehab/Upgrade Well #5,"$650,000.00",SC,Zettl
61,"DODGEVILLE, CITY OF",4795-09,Rehab/Upgrade Well #6,"$725,000.00",SC,Zettl
61,"DODGEVILLE, CITY OF",4795-07,Rehab/Upgrade Well #8,"$850,000.00",SC,Zettl
60,"JUNEAU, CITY OF",4824-02,"Replace WMs on Oak Grove St., Hyland St., and E Center St.","$450,000.00",SC,Zettl
60,"POTOSI, VILLAGE OF",5604-02,"Upgrade Well & Booster Pumps, Update SCADA","$750,000.00",SC,Zettl
59,"ABBOTSFORD, CITY OF",4748-13,Replace WM on Butternut St,"$430,000.00",WC,Cameron
59,"IRON RIDGE, VILLAGE OF",5608-02,Replace WMs in the North Main Street Area,"$1,000,000.00",SC,Zettl
