Rank,Points,Project Number,Project Title,Applicant Name,County,Beneficial Population,Ownership,System Size,Disadvantaged,Project Type,Funding Category,Green Cost ($),Construction Start,Construction End,Design Start,Water/Sewer,PFA Code,CD Code,Audit,Plan,Compliance,Notes,PWSID,PFAS/EC,LSL,Total Cost ($),MDE Requested Funding ($),matching_id,Project Description
21,80,DW0092,DeHaven and Mason Road Project,Allegany County Commissioners,Allegany,238,PUBLIC,Small,Y,Transmission & Distribution,,,11/01/2025,11/30/2026,08/01/2022,Y,5,2,N,N,N,,MD0010005,,,"1,725,000","1,725,000",DW0092,"PROBLEM: PROBLEM: TWO FAILING SMALL PRIVATE WATER CO'S UNABLE TO OPERATE & MAINTAIN SYSTEMS CONNECTED TO CITY OF CUMB WATER SYSTEM PROJECT: D/C-APX 8,000 LF WATER LINE, 35 WATER SVCS & APPURT TO REPLACE SMALL 2-IN TO 6-IN DIA FAILING WATER LINES-PROJ RESTORES T/M"
22,80,DW0028,Water Reuse Project - Westminster,City of Westminster,Carroll,38000,PUBLIC,Large,Y,Treatment,,"$16,000,000",02/01/2025,12/31/2026,07/01/2022,Y,Y,1,Y,Y,N,Green (W),MD0060015,,,"28,711,402","16,000,000",DW0028,PROBLEM: WATER SUPPLY IS SUSCEPTIBLE TO EXTREME SHORTAGES IN DROUGHT CONDITIONS; INSUFFICIENT DROUGHT HARDINESS PROJECT: CONSTRUCT INDIRECT WATER REUSE FACILITY FOR DRINKABLE WATER TREATMENT AND REUSE; DEMOLISH BUILDINGS AND PIPING
23,79,DW0039,PFAS Treatment at Bynum Well Station,Maryland American Water Company,Harford,15500,PRIVATE,Large,N,Treatment,PFAS/EC,,10/01/2026,12/31/2027,07/01/2025,Y,Y,1,N,N,N,,MD0120003,Y,,"5,000,000","5,000,000",DW0039,PROBLEM: CONCENTRATION OF CERTAIN PFAS/PFOA CHEMICALS IN WELL HAVE EXCEEDED EPA'S MAXIMUM CONTAMINANT LEVELS PROJECT: P/D/C-GRANULAR ACTIVATED CARBON (GAC) ADSORPTION SYSTEM TO REMOVE PFAS/PFOA AT BYNUM WELL
24,75,DW0077,Dolphin Road Water Main Replacement,Washington Suburban Sanitary Commission,Prince George's,445,PUBLIC,Large,Y,Transmission & Distribution,,,09/01/2026,09/30/2028,11/18/2021,Y,Y,2,Y,Y,N,,MD0150005,,,"5,500,000","5,500,000",DW0077,"PROBLEM: AGED CAST IRON WATER MAINS DETERIORATING/NEED REPLACEMENT; FREQUENT BREAKS & LEAKS; PUBLIC HEALTH CONCERN PROJECT: CONSTRUCT REPLACEMENT OF APPROXIMATELY 2 MILES OF 6"" TO 10"" WATER MAINS"
25,75,DW0073,Buckler Road Water Main Replacement,Washington Suburban Sanitary Commission,Prince George's,555,PUBLIC,Large,Y,Transmission & Distribution,,,04/01/2026,11/30/2027,07/01/2021,Y,Y,2,Y,Y,N,,MD0150005,,,"5,429,932","5,429,932",DW0073,PROBLEM: AGED CAST IRON WATER MAINS DETERIORATING/NEED REPLACEMENT; FREQUENT BREAKS & LEAKS; PUBLIC HEALTH CONCERN PROJECT: CONSTRUCT REPLACEMENT OF MORE THAN 2 MILES OF WATER MAINS
26,75,DW0074,Carderock Springs Water Main Replacement,Washington Suburban Sanitary Commission,Montgomery,615,PUBLIC,Large,N,Transmission & Distribution,,,08/01/2026,12/31/2028,12/01/2025,Y,2,2,Y,Y,N,,MD0150005,,,"8,125,000","8,125,000",DW0074,PROBLEM: AGED CAST IRON WATER MAINS DETERIORATING/NEED REPLACEMENT; FREQUENT BREAKS & LEAKS; PUBLIC HEALTH CONCERN PROJECT: CONSTRUCT REPLACEMENT OF MORE THAN 2 MILES OF WATER MAINS
27,75,DW0033,Middletown 1894 Springline Replacement - Phases 2 and 3,Burgess and Commissioners of Middletown,Frederick,4500,PUBLIC,Small,N,Transmission & Distribution,,,03/01/2026,09/30/2026,09/01/2025,Y,2,1,N,N,N,,MD0100018,,,"1,712,000","1,627,000",DW0033,"PROBLEM: CRACKS, CORROSION, AND EXPOSED PARTS OF SPRINGLINE WELL PAST ITS USEFUL LIFE, CAUSING LOSS OF WATER FLOW PROJECT: D/C-REPLACEMENT OF CAST IRON SECTIONS OF 130-YEAR OLD SPRINGLINE WITH LEAD SEALED JOINTS TO IMPROVE WATER FLOW/QUALITY"
28,75,DW0012,Filter Replacement and SCADA Upgrades at Paleo WTP,City of Salisbury,Wicomico,39233,PUBLIC,Large,Y,Transmission & Distribution,,,05/01/2026,11/30/2027,11/01/2021,Y,Y,1,Y,Y,N,,MD0220004,,,"16,456,737","16,160,000",DW0012,PROBLEM: FILTERS HAVE EXCEEDED USEFUL LIFE; SCADA COMPUTER PROGRAM IS OUTDATED & NEEDS UPGRADES FOR COMMUNICATION WITH NEW FILTERS PROJECT: CONSTRUCT REPLACEMENT W/NEW GREEN SAND PRESSURE FILTERS; MODIFY PIPE GALLERY; NEW FILTER BUILDING; UPGRADE SCADA SYSTEM
29,70,DW0093,Depot Street Water Project,Allegany County Commissioners,Allegany,70,PUBLIC,Small,Y,Transmission & Distribution,,,03/01/2026,09/30/2026,07/01/2025,Y,2,2,N,N,N,,MD0010009,,,"700,000","700,000",DW0093,"PROBLEM: FAILING SMALL PRIV WATER CO UNABLE TO O&M SYSTEMS CONNECTED TO CITY OF FROSTBURG WATER SYS; SMALL 2"" DIA WATER LINES FAILING PROJECT: P/D/C-REPLACEMENT OF APX 3,000 LF WATER LINE, 10 WATER SVCS/APPURT TO REPLACE; PROJECT RESTORES T/M"
30,70,DW0075,College Gardens Water Main Replacement,Washington Suburban Sanitary Commission,Montgomery,168,PUBLIC,Large,N,Transmission & Distribution,,,08/01/2026,08/30/2028,08/01/2023,Y,Y,2,Y,Y,N,,MD0150005,,,"4,967,330","4,967,330",DW0075,"PROBLEM: AGING CAST IRON WATER MAINS ARE DETERIORATING; FREQUENT BREAKS AND LEAKS; PUBLIC HEALTH CONCERN PROJECT: CONSTRUCT REPLACEMENT OF APPROX 2 MILES OF 4""-10"" WATER MAINS; REPLACEMENT OF 1560 LF OF 3"" CAST IRON PIPE"
