Rank,Points,Project Number,Project Title,Applicant Name,County,Beneficial Population,Ownership,System Size,Disadvantaged,Project Type,Funding Category,Green Cost ($),Construction Start,Construction End,Design Start,Water/Sewer,PFA Code,CD Code,Audit,Plan,Compliance,Notes,PWSID,PFAS/EC,LSL,Total Cost ($),MDE Requested Funding ($),matching_id,Project Description
89,40,DW0087,WFP Membrane Filtration Building (Project No. 2023-20-WFP),Mayor and City Council of Cumberland,Allegany,45453,PUBLIC,Large,Y,Treatment,,,10/01/2026,04/30/2028,03/01/2025,Y,Y,1,Y,Y,N,,MD0010008,,,"56,074,609","56,000,000",DW0087,"PROBLEM: OUTDATED FILTER BLDG W/11 CONVENTIONAL FILTERS, INADEQUATE INSULATION, LEAD-BASED PAINT PROJECT: P/D/C-NEW MEMBRANE FILTER BLDG WITH MEMBRANE AND GAC FILTRATION SYSTEMS & 5 MG FINISHED WATER TANK"
90,40,DW0054,City of Rockville - Lead Service Line Inventory Investigation,City of Rockville,Montgomery,65700,PUBLIC,Large,N,Transmission & Distribution,LSL,,04/01/2023,10/31/2027,,Y,2,1,Y,Y,N,,MD0150003,,Y,"1,234,274","528,875",DW0054,"PROBLEM: COMPLY WITH REVISIONS TO LCRR & PROACTIVELY ADDRESS EXPANDED REQUIREMENTS OF LCRI PROJECT: P-REDUCE 'UNKNOWN' SERVICE LINES VIA CUSTOMER SURVEYS, FIELD INVESTIGATIONS & USING PREDICTIVE MODELING SOFTWARE"
91,40,DW0043,Automatic Metering Infrastructure Replacement,Mayor and City Council of Baltimore,Baltimore City,1600000,PUBLIC,Large,Y,Transmission & Distribution,,"$2,500,000",09/01/2025,06/30/2033,01/01/2025,Y,Y,1,Y,Y,N,Green (W),MD0300002,,,"287,129,401","127,318,229",DW0043,"PROBLEM: METERING SYSTEM NEEDS UPGRADING; OLDER METERS & TRANSMITTERS BATTERY OPERATED, INACCURATE PROJECT: CONSTRUCT TESTING & REPLACEMENT OF SM/LG CUSTOMER METERS, ETC. TO STATE-OF-THE-ART ADVANCED METERING TECHNOLOGY"
92,40,DW0099,Automatic Metering Infrastructure Replacement,Baltimore County,Baltimore County,1600000,PUBLIC,Large,Y,Transmission & Distribution,,,09/01/2025,06/30/2033,01/01/2025,Y,Y,1,Y,Y,N,Joint project w/ Baltimore City,MD0300002,,,0,"143,564,699",DW0099,"PROBLEM: METERING SYSTEM NEEDS UPGRADING; OLDER METERS & TRANSMITTERS BATTERY OPERATED, INACCURATE PROJECT: CONSTRUCT TESTING & REPLACEMENT OF SM/LG CUSTOMER METERS, ETC. TO STATE-OF-THE-ART ADVANCED METERING TECHNOLOGY"
93,35,DW0021,Coulbourne Lane Well Backup Power,Town of Snow Hill,Worcester,2793,PUBLIC,Small,Y,Source,,,04/01/2026,06/30/2026,06/01/2025,Y,2,1,Y,N,N,,MD0230007,,,"240,200","240,200",DW0021,PROBLEM: NO BACKUP POWER TO LARGEST PRODUCING WELL FOR WATER SYSTEM PROJECT: D/C-FURNISH AND INSTALL EMERGENCY GENERATOR AND AUTOMATIC TRANSFER SWITCH TO TOWN'S LARGEST PRODUCTION WELL
94,35,DW0011,Aberdeen Public Infrastructure Project at Swan Meadows,City of Aberdeen,Harford,4470,PUBLIC,Large,Y,Transmission & Distribution,,,07/01/2026,06/30/2031,04/01/2022,Y,Y,1,Y,Y,N,,MD0120001,,,"2,941,430","2,684,000",DW0011,PROBLEM: AGED WATER MAINS CANNOT SUSTAIN NORMAL PRESSURES AND ARE FRAGILE; RISKS ASBESTOS CONTAMINATION PROJECT: CONSTRUCT REPLACEMENT OF WATER MAINS AND WATER LINES SERVING THE NEIGHBORHOOD
95,35,DW0017,Mystic Harbor Water Plant & Building Rehab,Worcester County,Worcester,7373,PUBLIC,Small,Y,Treatment,,,10/01/2026,10/31/2027,10/31/2025,Y,2,1,N,N,N,,MD0230011,,,"2,510,740","2,510,740",DW0017,"PROBLEM: 50+ YEAR OLD WTP AT END OF USEFUL LIFE, CHEMICAL CORROSION, NO AUTOMATION PROJECT: P/D/C-REHABILITATION OF FACILITY AND COMPONENTS, REPLACE VALVES, RELOCATE FILTER CONTROL PANEL & UPDATE"
96,35,DW0096,Anne Arundel County Lead Service Line Replacement Program,Anne Arundel County,Anne Arundel,12500,PUBLIC,Large,Y,Transmission & Distribution,LSL,,01/01/2027,12/31/2034,07/01/2024,Y,2,2,N,N,N,,MD0020017,,Y,"7,600,000","7,600,000",DW0096,PROBLEM: LEAD SERVICE LINES WITHIN DISADVANTAGED COMMUNITIES PROJECT: P/D/C-IDENTIFY AND REPLACE LEAD SERVICE LINES WITHIN DISADVANTAGED COMMUNITY BOUNDARIES
97,30,DW0068,Security Updates for Water Treatment Facilities,Washington County Board of County Commissioners,Washington,3750,PUBLIC,Small,N,Other,,,06/01/2025,11/30/2025,01/01/2025,Y,2,1,Y,Y,N,,MD0210017,,,"85,000","85,000",DW0068,PROBLEM: UNMANNED/UNSECURED WATER TREATMENT FACILITIES PROJECT: CONSTRUCT INSTALLATION OF SECURITY CAMERAS AT COUNTY WATER TREATMENT FACILITIES
98,25,DW0062,Friendsville Water Source,Garrett County Sanitary District,Garrett,623,PUBLIC,Small,Y,Source,,,10/01/2026,12/31/2026,07/01/2025,N,3,2,N,N,Y,,MD0110004,,,"627,200","565,100",DW0062,PROBLEM: FRIENDSVILLE WTP PERMIT APPROVED WITH THE EXCEPTION THAT WATER SOURCE EVALUATION WOULD BE REQUIRED PROJECT: D/C-PRODUCE PER AND ENVIRONMENTAL REPORT TO EVALUATE WATER SOURCE OPTIONS; DRILL WELLS; INSTALL SCREENS ON RAW WATER INTAKE
99,25,DW0082,Grasonville - Main Street (MD-18) Interconnector Water Main Construction,County Commissioners of Queen Anne's County,Queen Anne's,5250,PUBLIC,Small,N,Transmission & Distribution,,,09/01/2026,01/31/2027,03/01/2025,Y,Y,2,N,Y,N,,MD0170020,,,"8,000,000","8,000,000",DW0082,"PROBLEM: THERE IS NO REDUNDANCY TO KENT ISLAND/KENT NARROWS/GRAVESONVILLE; WATER CANNOT BE SUPPLIED TO GRASONVILLE IF WTF OFFLINE PROJECT: CONSTRUCT 8600 LF OF 12"" WATER MAIN ALONG RT 18 INSTALLED TO OYSTER COVE WTF"
100,25,DW0022,Powellton Avenue Well Backup Power,Town of Berlin,Worcester,5500,PUBLIC,Small,Y,Source,,,03/01/2026,06/30/2026,07/01/2025,Y,Y,1,N,N,N,,MD0230001,,,"240,200","238,400",DW0022,PROBLEM: POWELLTON AVE WELL IS W/O BACKUP POWER. WELL IS HIGHEST PRODUCER. POWEROUTAGE OF WELL IS HIGH VULNERABILITY PROJECT: D/C-PREP & INSTALL EMERGENCY GENERATOR & AUTO TRANSFER SWITCH FOR BACKUP POWER SUPPLY OF POWELLTON AVE WELL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
